"LatLon","LATITUDE","LONGITUDE","SBU.4.LTR","County","Stream.Name..NHD.if.available.otherwise.WI.","Concerns.from.Participants","PWL_ID","WIN","HUC_8","Classification","More.recently.used.Coordinates..changed.because.within.500..of.previous.site."
"40.6615,-73.6036",40.6615,-73.6036,NA,NA,"Milburn Creek",NA,NA,NA,NA,NA,NA
"40.6640,-73.6539",40.664,-73.6539,NA,NA,"Mill River",NA,NA,NA,NA,NA,NA
"40.6688,-73.4829",40.6688,-73.4829,NA,NA,"Takapausha Preserve",NA,NA,NA,NA,NA,NA
"40.6914,-73.3575",40.6914,-73.3575,NA,NA,"Santapogue creek",NA,NA,NA,NA,NA,NA
"40.7033,-73.3277",40.7033,-73.3277,NA,NA,"Carll's River",NA,NA,NA,NA,NA,NA
"40.7140,-73.3279",40.714,-73.3279,NA,NA,"Carll's River",NA,NA,NA,NA,NA,NA
"40.7158,-73.3287",40.7158,-73.3287,NA,NA,"Carll's River",NA,NA,NA,NA,NA,NA
"40.7324,-73.2507",40.7324,-73.2507,NA,NA,"Penataquit Creek ",NA,NA,NA,NA,NA,NA
"40.7324,-73.2507",40.7324,-73.2507,NA,NA,"Penataquit Creek west branch",NA,NA,NA,NA,NA,NA
"40.7549,-73.7453",40.7549,-73.7453,NA,NA,"Alley Creek - East Branch",NA,NA,NA,NA,NA,NA
"40.7566,-73.7461",40.7566,-73.7461,NA,NA,"Alley Creek",NA,NA,NA,NA,NA,NA
"40.7728,-73.0330",40.7728,-73.033,NA,NA,"Tuthill's Creek",NA,NA,NA,NA,NA,NA
"40.8498,-73.2237",40.8498,-73.2237,NA,NA,"Nissequogue River",NA,NA,NA,NA,NA,NA
"40.8847,-73.6174",40.8847,-73.6174,NA,NA,"Island Swamp Brook",NA,NA,NA,NA,NA,NA
"40.9079,-73.8842",40.9079,-73.8842,"","","Tibbetts Brook","","","",NA,"",""
"40.9079,-73.8896",40.9079,-73.8896,"","","Tibbetts Brook","","","",NA,"",""
"40.9138,-73.8835",40.9138,-73.8835,"","","Tibbetts Brook","","","",NA,"",""
"40.9899,-73.8632",40.9899,-73.8632,"","","Saw Mill River","","","",NA,"",""
"41.0188,-73.8457",41.0188,-73.8457,"","","Saw Mill River","","","",NA,"",""
"41.0193,-74.0824",41.0193,-74.0824,NA,NA,"Saddle River",NA,NA,NA,NA,NA,NA
"41.0198,-73.9470",41.0198,-73.947,NA,NA,"Sparkill Creek",NA,NA,NA,NA,NA,NA
"41.0208,-73.9474",41.0208,-73.9474,NA,NA,"Sparkill",NA,NA,NA,NA,NA,NA
"41.0292,-73.9257",41.0292,-73.9257,"","","Sparkill Creek","","","",NA,"",""
"41.0294,-73.9254",41.0294,-73.9254,"WSPAR04","Rockland","Sparkill Creek","","1301-0088","H- 13",2030101,"C",""
"41.0303,-73.9247",41.0303,-73.9247,"","","Below Valentine at Skating Pond, Sparkill Creek","","","",NA,"",""
"41.0358,-73.9067",41.0358,-73.9067,NA,NA,"Hudson River",NA,NA,NA,NA,NA,NA
"41.0362,-73.9091",41.0362,-73.9091,NA,NA,"Sparkill Stream",NA,NA,NA,NA,NA,NA
"41.0446,-73.9451",41.0446,-73.9451,"","","Sparkill Creek","","","",NA,"",""
"41.0447,-73.9451",41.0447,-73.9451,NA,NA,"Sparkill",NA,NA,NA,NA,NA,NA
"41.0516,-73.9455",41.0516,-73.9455,"","Rockland","Sparkill Creek","","1301-0106","H- 13",2030101,"C(T)",""
"41.0519,-73.9450",41.0519,-73.945,NA,NA,"Sparkill Creek",NA,NA,NA,NA,NA,NA
"41.0587,-73.9917",41.0587,-73.9917,NA,NA,"Naurashaun Brook",NA,NA,NA,NA,NA,NA
"41.0589,-73.9919",41.0589,-73.9919,"","","Naurashaun Brook","","","",NA,"",""
"41.0590,-73.9928",41.059,-73.9928,NA,NA,"Naurashaun Brook",NA,NA,NA,NA,NA,NA
"41.0599,-74.0236",41.0599,-74.0236,"","Rockland","Muddy Brook","","1501-0014","NJ- 2 thru 4",2030103,"C",""
"41.0622,-73.9458",41.0622,-73.9458,"","","North Branch at Greenbush road, Sparkill","","","",NA,"",""
"41.0664,-74.0394",41.0664,-74.0394,NA,NA,"Pascack",NA,NA,NA,NA,NA,NA
"41.0679,-74.0264",41.0679,-74.0264,NA,NA,"Muddy Creek",NA,NA,NA,NA,NA,NA
