Latitude,Longitude,Sample.Date,3.Low,PossiblyImpaired,sample_id,Stream.Name
40.6615,-73.6035,9/13/2019,0.506232213,yes,,
40.6615,-73.6036,9/29/2018,0.848773525,yes,,
40.664,-73.6539,7/26/2017,0.667688888,yes,,
40.6688,-73.4829,9/9/2017,0.80078388,yes,,
40.6914,-73.3575,7/1/2017,0.985302698,yes,,
40.714,-73.3279,9/17/2017,0.915583127,yes,,
40.7158,-73.3287,9/17/2017,0.880762039,yes,,
40.7324,-73.2507,8/4/2017,0.995641932,yes,,
40.7549,-73.7453,7/28/2017,0.901286058,yes,,
40.7566,-73.7461,7/28/2017,0.901286058,yes,,
40.7728,-73.033,9/29/2017,0.901286058,yes,,
40.8498,-73.2237,9/17/2017,0.96646394,yes,,
40.8847,-73.6174,9/2/2017,0.750570839,yes,,
40.9079,-73.8842,8/5/2016,0.961339142,yes,,
40.9079,-73.8896,8/5/2016,0.955387211,yes,,
40.9138,-73.8835,8/5/2016,0.978234727,yes,,
40.9899,-73.8632,9/25/2016,0.502739729,yes,,
40.9899,-73.8632,8/18/2019,0.502739729,yes,,
41.0193,-74.0824,7/10/2017,0.515796929,yes,,
41.0292,-73.9257,8/4/2016,0.959128337,yes,,
41.0294,-73.9254,8/28/2014,0.958230865,yes,,
41.0303,-73.9247,8/3/2016,0.942026128,yes,,
41.0358,-73.9067,7/18/2018,0.667688888,yes,,
41.0362,-73.9091,7/24/2018,0.904495496,yes,,
41.0519,-73.945,7/11/2017,0.672243587,yes,,
41.0587,-73.9917,7/9/2018,0.646050084,yes,,
41.059,-73.9928,7/10/2017,0.667688888,yes,,
41.0599,-74.0236,7/22/2015,0.98391789,yes,,
41.0599,-74.0236,8/8/2016,0.98391789,yes,,
41.0622,-73.9458,8/3/2016,0.667688888,yes,,
41.0664,-74.0394,7/26/2017,0.901286058,yes,,
41.0681,-74.04,7/8/2019,0.508289594,yes,,
41.0683,-74.0264,7/8/2019,0.737545517,yes,,
41.0683,-74.0264,7/9/2018,0.737545517,yes,,
41.0827,-74.0825,8/8/2016,0.515796929,yes,,
41.0828,-74.0825,7/22/2015,0.975447599,yes,,
41.0864,-73.9627,8/4/2016,0.959486537,yes,,
41.118,-74.0438,7/25/2016,0.996315658,yes,,
41.118,-74.0438,7/29/2015,0.996315658,yes,,
41.1182,-73.9446,7/3/2017,0.622153752,yes,,
41.1213,-73.8672,8/23/2012,0.790687458,yes,,
41.1256,-73.4476,8/10/2017,0.927255576,yes,,
41.1324,-73.8187,7/8/2012,0.990791468,yes,,
41.1324,-73.8187,9/15/2012,0.990791468,yes,,
41.1338,-73.9433,7/3/2017,0.99702414,yes,,
41.1339,-73.9433,7/29/2019,0.999823338,yes,,
41.1339,-73.9433,7/30/2018,0.999823338,yes,,
41.1456,-73.8606,7/11/2014,0.61026926,yes,,
41.146,-74.1144,7/7/2016,0.667688888,yes,,
41.1467,-73.9979,7/8/2015,0.949273674,yes,,
41.1468,-73.9978,7/16/2016,0.980164601,yes,,
41.1503,-74.0964,7/7/2016,0.751265215,yes,,
41.1578,-73.9668,9/21/2017,0.80424539,yes,,
41.1624,-74.0082,7/17/2017,0.843739081,yes,,
41.1649,-74.0077,7/17/2017,0.82766079,yes,,
41.1734,-74.0002,8/5/2015,0.843739081,yes,,
41.1749,-74.0005,7/1/2019,0.901286058,yes,,
41.1852,-73.8686,7/9/2014,0.667688888,yes,,
41.1925,-74.0417,7/8/2015,0.926963405,yes,,
41.1962,-74.0389,7/10/2017,0.901286058,yes,,
41.2028,-73.9725,8/23/2018,0.789425003,yes,,
41.2043,-73.9668,8/5/2015,0.877029934,yes,,
41.2044,-73.9711,7/11/2016,0.901286058,yes,,
41.2077,-73.7261,7/20/2016,0.965611472,yes,,
41.294,-74.4358,9/25/2013,0.637142034,yes,,
41.315,-73.9309,9/17/2012,0.71564646,yes,,
41.3254,-73.7397,7/25/2012,0.991829459,yes,,
41.3254,-73.7397,8/7/2012,0.991829459,yes,,
41.3503,-73.9131,7/29/2018,0.834814054,yes,,
41.4086,-74.373,8/30/2013,0.790041839,yes,,
41.4167,-74.1667,8/3/2016,0.953905078,yes,,
41.4298,-74.4218,9/13/2016,0.969410568,yes,,
41.4724,-73.7873,9/7/2013,0.752952277,yes,,
41.4828,-74.0859,8/4/2016,0.989353047,yes,,
41.4861,-74.0875,8/11/2016,0.986355143,yes,,
41.4864,-74.0826,8/4/2016,0.806296839,yes,,
41.5011,-74.0728,9/18/2017,0.758665904,yes,,
41.5082,-73.5862,7/23/2016,0.918399384,yes,,
41.5083,-73.586,7/15/2017,0.725973631,yes,,
41.5678,-73.9122,7/2/2016,0.834814054,yes,,
41.682,-73.8927,8/9/2016,0.702593937,yes,,
41.7011,-73.8886,9/17/2014,0.994369173,yes,,
41.7071,-73.9239,8/9/2016,0.667688888,yes,,
41.7087,-73.9334,8/9/2016,0.667688888,yes,,
41.7091,-73.9388,9/10/2014,0.667688888,yes,,
41.8677,-73.5019,7/8/2014,0.949273674,yes,,
42.0066,-78.7756,7/12/2014,0.77324554,yes,,
42.0414,-73.6437,9/18/2016,0.525516589,yes,,
42.045,-73.9131,7/2/2012,0.783049805,yes,,
42.0714,-76.7754,7/13/2016,0.949876067,yes,,
42.0803,-73.9383,9/26/2015,0.680149486,yes,,
42.0814,-76.7798,7/13/2016,0.750447266,yes,,
42.0814,-76.7798,8/15/2017,0.750447266,yes,,
42.0884,-73.9768,9/7/2014,0.835730459,yes,,
42.1014,-76.0251,8/28/2017,0.515796929,yes,,
42.1076,-73.9496,9/9/2012,0.747964097,yes,,
42.1132,-73.5634,9/25/2016,0.877029934,yes,,
42.1931,-73.5802,9/23/2018,0.785121687,yes,,
42.2735,-75.7427,7/12/2017,0.615231435,yes,,
42.2805,-73.7114,8/8/2014,0.978050918,yes,,
42.2805,-73.7114,8/14/2015,0.978050918,yes,,
42.465,-73.7922,7/5/2016,0.603545261,yes,,
42.4764,-73.7932,7/26/2016,0.973376503,yes,,
42.4822,-79.3055,8/6/2014,0.906041361,yes,,
42.4822,-79.3055,9/14/2014,0.906041361,yes,,
42.5359,-74.0771,8/3/2016,0.570306928,yes,,
42.5775,-73.8137,9/16/2015,0.819999194,yes,,
42.5978,-76.6303,9/30/2015,0.877029934,yes,,
42.5984,-73.7817,9/7/2015,0.75585457,yes,,
42.6331,-78.3342,9/1/2014,0.677272234,yes,,
42.6343,-73.8014,8/19/2013,0.706696583,yes,,
42.6343,-73.8014,8/24/2012,0.706696583,yes,,
