"stationID","Lat","Lon","Stream Name","Assessment","Individual Sample Results"
"-73.157_40.748",-73.157,40.748,"West Brook","No Conclusion","09/22/2021:No Conclusion"
"-73.244_42.326",-73.244,42.326,"Black River","No Conclusion","09/26/2020:No Conclusion"
"-73.251_40.732",-73.251,40.732,"Penataquit Creek","No Conclusion","09/03/2021:No Conclusion"
"-73.3_43.103",-73.3,43.103,"Camden Creek","No Conclusion","07/17/2021:No Conclusion"
"-73.301_43.104",-73.301,43.104,"Camden Creek","No Known Impact","09/11/2021:No Known Impact"
"-73.305_43.094",-73.305,43.094,"Murray Hollow","No Conclusion","08/27/2021:No Conclusion"
"-73.343_42.381",-73.343,42.381,"Wynants Kill","No Conclusion","09/01/2020:No Conclusion"
"-73.35_42.422",-73.35,42.422,"Quackenkill","No Known Impact","07/26/2020:No Known Impact"
"-73.353_42.422",-73.353,42.422,"Poestenkill","No Known Impact","07/26/2020:No Known Impact"
"-73.473_42.846",-73.473,42.846,"Sunkauissia","No Known Impact","09/13/2020:No Known Impact
09/13/2020:No Conclusion"
"-73.499_42.879",-73.499,42.879,"Otter Creek","No Conclusion","07/29/2020:No Conclusion"
"-73.5_43.747",-73.5,43.747,"Hauge Brook","No Known Impact","08/10/2021:No Known Impact
08/28/2021:No Conclusion"
"-73.501_42.56",-73.501,42.56,"Tsatsawasick","No Known Impact","08/14/2021:No Known Impact"
"-73.501_43.73",-73.501,43.73,"Jenkins Brook","No Known Impact","08/18/2020:No Known Impact
08/10/2021:No Known Impact"
"-73.503_43.738",-73.503,43.738,"Hague (Unknown)","No Conclusion","09/25/2020:No Conclusion"
"-73.505_43.75",-73.505,43.75,"Hague Brook","No Known Impact","08/18/2020:No Known Impact"
"-73.507_43.636",-73.507,43.636,"Foster Brook","No Known Impact","09/22/2021:No Known Impact"
"-73.507_43.64",-73.507,43.64,"Fairy Brook","No Known Impact","09/22/2021:No Known Impact
09/01/2020:No Known Impact"
"-73.508_43.635",-73.508,43.635,"Foster Brook","No Known Impact","09/01/2020:No Known Impact"
"-73.515_42.514",-73.515,42.514,"Kinderhook Creek Preserve","No Known Impact","07/25/2020:No Known Impact"
"-73.516_42.514",-73.516,42.514,"Tsatsawasick","No Conclusion","07/25/2020:No Conclusion"
"-73.525_42.492",-73.525,42.492,"Mohawk River Tributary","No Conclusion","09/10/2021:No Conclusion"
"-73.525_42.493",-73.525,42.493,"Mohawk River Tributary","No Conclusion","09/10/2021:No Conclusion"
