"Latitude","Longitude","Sample.Date","3.Low","PossiblyImpaired","sample_id","Stream.Name","1.High","2.Slight"
40.6615,-73.6035,2019-09-13,0.506232213,"yes","","",NA,NA
40.6615,-73.6036,2018-09-29,0.848773525,"yes","","",NA,NA
40.664,-73.6539,2017-07-26,0.667688888,"yes","","",NA,NA
40.6688,-73.4829,2017-09-09,0.80078388,"yes","","",NA,NA
40.6914,-73.3575,2017-07-01,0.985302698,"yes","","",NA,NA
40.714,-73.3279,2017-09-17,0.915583127,"yes","","",NA,NA
40.7158,-73.3287,2017-09-17,0.880762039,"yes","","",NA,NA
40.7324,-73.2507,2017-08-04,0.995641932,"yes","","",NA,NA
40.7549,-73.7453,2017-07-28,0.901286058,"yes","","",NA,NA
40.7566,-73.7461,2017-07-28,0.901286058,"yes","","",NA,NA
40.7728,-73.033,2017-09-29,0.901286058,"yes","","",NA,NA
40.8498,-73.2237,2017-09-17,0.96646394,"yes","","",NA,NA
40.8847,-73.6174,2017-09-02,0.750570839,"yes","","",NA,NA
40.9079,-73.8842,2016-08-05,0.961339142,"yes","","",NA,NA
40.9079,-73.8896,2016-08-05,0.955387211,"yes","","",NA,NA
40.9138,-73.8835,2016-08-05,0.978234727,"yes","","",NA,NA
40.9899,-73.8632,2016-09-25,0.502739729,"yes","","",NA,NA
40.9899,-73.8632,2019-08-18,0.502739729,"yes","","",NA,NA
41.0193,-74.0824,2017-07-10,0.515796929,"yes","","",NA,NA
41.0292,-73.9257,2016-08-04,0.959128337,"yes","","",NA,NA
41.0294,-73.9254,2014-08-28,0.958230865,"yes","","",NA,NA
41.0303,-73.9247,2016-08-03,0.942026128,"yes","","",NA,NA
41.0358,-73.9067,2018-07-18,0.667688888,"yes","","",NA,NA
41.0362,-73.9091,2018-07-24,0.904495496,"yes","","",NA,NA
41.0519,-73.945,2017-07-11,0.672243587,"yes","","",NA,NA
41.0587,-73.9917,2018-07-09,0.646050084,"yes","","",NA,NA
41.059,-73.9928,2017-07-10,0.667688888,"yes","","",NA,NA
41.0599,-74.0236,2015-07-22,0.98391789,"yes","","",NA,NA
41.0599,-74.0236,2016-08-08,0.98391789,"yes","","",NA,NA
41.0622,-73.9458,2016-08-03,0.667688888,"yes","","",NA,NA
41.0664,-74.0394,2017-07-26,0.901286058,"yes","","",NA,NA
41.0681,-74.04,2019-07-08,0.508289594,"yes","","",NA,NA
41.0683,-74.0264,2019-07-08,0.737545517,"yes","","",NA,NA
41.0683,-74.0264,2018-07-09,0.737545517,"yes","","",NA,NA
41.0827,-74.0825,2016-08-08,0.515796929,"yes","","",NA,NA
41.0828,-74.0825,2015-07-22,0.975447599,"yes","","",NA,NA
41.0864,-73.9627,2016-08-04,0.959486537,"yes","","",NA,NA
41.118,-74.0438,2016-07-25,0.996315658,"yes","","",NA,NA
41.118,-74.0438,2015-07-29,0.996315658,"yes","","",NA,NA
41.1182,-73.9446,2017-07-03,0.622153752,"yes","","",NA,NA
41.1213,-73.8672,2012-08-23,0.790687458,"yes","","",NA,NA
41.1256,-73.4476,2017-08-10,0.927255576,"yes","","",NA,NA
41.1324,-73.8187,2012-07-08,0.990791468,"yes","","",NA,NA
41.1324,-73.8187,2012-09-15,0.990791468,"yes","","",NA,NA
41.1338,-73.9433,2017-07-03,0.99702414,"yes","","",NA,NA
41.1339,-73.9433,2019-07-29,0.999823338,"yes","","",NA,NA
41.1339,-73.9433,2018-07-30,0.999823338,"yes","","",NA,NA
41.1456,-73.8606,2014-07-11,0.61026926,"yes","","",NA,NA
41.146,-74.1144,2016-07-07,0.667688888,"yes","","",NA,NA
41.1467,-73.9979,2015-07-08,0.949273674,"yes","","",NA,NA
41.1468,-73.9978,2016-07-16,0.980164601,"yes","","",NA,NA
41.1503,-74.0964,2016-07-07,0.751265215,"yes","","",NA,NA
41.1578,-73.9668,2017-09-21,0.80424539,"yes","","",NA,NA
41.1624,-74.0082,2017-07-17,0.843739081,"yes","","",NA,NA
41.1649,-74.0077,2017-07-17,0.82766079,"yes","","",NA,NA
41.1734,-74.0002,2015-08-05,0.843739081,"yes","","",NA,NA
41.1749,-74.0005,2019-07-01,0.901286058,"yes","","",NA,NA
41.1852,-73.8686,2014-07-09,0.667688888,"yes","","",NA,NA
41.1925,-74.0417,2015-07-08,0.926963405,"yes","","",NA,NA
41.1962,-74.0389,2017-07-10,0.901286058,"yes","","",NA,NA
41.2028,-73.9725,2018-08-23,0.789425003,"yes","","",NA,NA
41.2043,-73.9668,2015-08-05,0.877029934,"yes","","",NA,NA
41.2044,-73.9711,2016-07-11,0.901286058,"yes","","",NA,NA
41.2077,-73.7261,2016-07-20,0.965611472,"yes","","",NA,NA
41.294,-74.4358,2013-09-25,0.637142034,"yes","","",NA,NA
41.315,-73.9309,2012-09-17,0.71564646,"yes","","",NA,NA
41.3254,-73.7397,2012-07-25,0.991829459,"yes","","",NA,NA
41.3254,-73.7397,2012-08-07,0.991829459,"yes","","",NA,NA
41.3503,-73.9131,2018-07-29,0.834814054,"yes","","",NA,NA
41.4086,-74.373,2013-08-30,0.790041839,"yes","","",NA,NA
41.4167,-74.1667,2016-08-03,0.953905078,"yes","","",NA,NA
41.4298,-74.4218,2016-09-13,0.969410568,"yes","","",NA,NA
41.4724,-73.7873,2013-09-07,0.752952277,"yes","","",NA,NA
41.4828,-74.0859,2016-08-04,0.989353047,"yes","","",NA,NA
41.4861,-74.0875,2016-08-11,0.986355143,"yes","","",NA,NA
41.4864,-74.0826,2016-08-04,0.806296839,"yes","","",NA,NA
41.5011,-74.0728,2017-09-18,0.758665904,"yes","","",NA,NA
41.5082,-73.5862,2016-07-23,0.918399384,"yes","","",NA,NA
41.5083,-73.586,2017-07-15,0.725973631,"yes","","",NA,NA
41.5678,-73.9122,2016-07-02,0.834814054,"yes","","",NA,NA
41.682,-73.8927,2016-08-09,0.702593937,"yes","","",NA,NA
41.7011,-73.8886,2014-09-17,0.994369173,"yes","","",NA,NA
41.7071,-73.9239,2016-08-09,0.667688888,"yes","","",NA,NA
41.7087,-73.9334,2016-08-09,0.667688888,"yes","","",NA,NA
41.7091,-73.9388,2014-09-10,0.667688888,"yes","","",NA,NA
41.8677,-73.5019,2014-07-08,0.949273674,"yes","","",NA,NA
42.0066,-78.7756,2014-07-12,0.77324554,"yes","","",NA,NA
42.0414,-73.6437,2016-09-18,0.525516589,"yes","","",NA,NA
42.045,-73.9131,2012-07-02,0.783049805,"yes","","",NA,NA
42.0714,-76.7754,2016-07-13,0.949876067,"yes","","",NA,NA
42.0803,-73.9383,2015-09-26,0.680149486,"yes","","",NA,NA
42.0814,-76.7798,2016-07-13,0.750447266,"yes","","",NA,NA
42.0814,-76.7798,2017-08-15,0.750447266,"yes","","",NA,NA
42.0884,-73.9768,2014-09-07,0.835730459,"yes","","",NA,NA
42.1014,-76.0251,2017-08-28,0.515796929,"yes","","",NA,NA
42.1076,-73.9496,2012-09-09,0.747964097,"yes","","",NA,NA
42.1132,-73.5634,2016-09-25,0.877029934,"yes","","",NA,NA
42.1931,-73.5802,2018-09-23,0.785121687,"yes","","",NA,NA
42.2735,-75.7427,2017-07-12,0.615231435,"yes","","",NA,NA
42.2805,-73.7114,2014-08-08,0.978050918,"yes","","",NA,NA
42.2805,-73.7114,2015-08-14,0.978050918,"yes","","",NA,NA
42.465,-73.7922,2016-07-05,0.603545261,"yes","","",NA,NA
42.4764,-73.7932,2016-07-26,0.973376503,"yes","","",NA,NA
42.4822,-79.3055,2014-08-06,0.906041361,"yes","","",NA,NA
42.4822,-79.3055,2014-09-14,0.906041361,"yes","","",NA,NA
42.5359,-74.0771,2016-08-03,0.570306928,"yes","","",NA,NA
42.5775,-73.8137,2015-09-16,0.819999194,"yes","","",NA,NA
42.5978,-76.6303,2015-09-30,0.877029934,"yes","","",NA,NA
42.5984,-73.7817,2015-09-07,0.75585457,"yes","","",NA,NA
42.6331,-78.3342,2014-09-01,0.677272234,"yes","","",NA,NA
42.6343,-73.8014,2013-08-19,0.706696583,"yes","","",NA,NA
42.6343,-73.8014,2012-08-24,0.706696583,"yes","","",NA,NA
42.6343,-73.8014,2012-09-07,0.706696583,"yes","","",NA,NA
42.6345,-73.8,2013-09-23,0.667688888,"yes","","",NA,NA
42.6345,-73.999,2017-08-30,0.915583127,"yes","","",NA,NA
42.6493,-73.847,2019-09-18,0.568088469,"yes","","",NA,NA
42.6505,-73.8444,2016-07-07,0.901286058,"yes","","",NA,NA
42.6506,-73.8449,2012-09-20,0.987058306,"yes","","",NA,NA
42.6592,-73.828,2016-08-07,0.990250655,"yes","","",NA,NA
42.6683,-73.8275,2017-08-07,0.790687458,"yes","","",NA,NA
42.6719,-73.7578,2016-07-20,0.981537812,"yes","","",NA,NA
42.672,-73.828,2012-09-12,0.671299283,"yes","","",NA,NA
42.6767,-73.8356,2016-08-11,0.975837578,"yes","","",NA,NA
42.6784,-73.8372,2016-08-23,0.957260548,"yes","","",NA,NA
42.6832,-73.9087,2017-08-04,0.790687458,"yes","","",NA,NA
42.6868,-73.7432,2014-09-13,0.671299283,"yes","","",NA,NA
42.6873,-78.9996,2014-08-10,0.913965852,"yes","","",NA,NA
42.692,-73.7783,2019-08-27,0.889921734,"yes","","",NA,NA
42.6923,-73.7781,2017-08-15,0.93461936,"yes","","",NA,NA
