ObjectID,GlobalID,Order,Family,Final ID,"Please describe the ""other"" bug",Please include any other notes about the particular bug.,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,6d17f885-2251-46c1-8560-6314146a81e6,Wormlike,Oligochaeta,(Wormlike) Oligochaeta,,,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec
2,12086b86-8b7f-471a-80bc-5c131c082c0f,Odonata,Anisoptera,(Odonata) Anisoptera,,,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
3,2549e553-c480-4dfb-8e65-09bf264bffb9,Megaloptera,Corydalidae,(Megaloptera) Corydalidae,,,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
4,5382d497-19a3-44d8-8760-ae1a065282b1,Megaloptera,Corydalidae,(Megaloptera) Corydalidae,,,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
5,3580cce9-4e52-46fb-86c4-0e9a61eac432,Megaloptera,Corydalidae,(Megaloptera) Corydalidae,,,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
6,cfc4f931-d242-44f8-8d5e-5ac14871afce,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
7,906eb74a-573a-471e-893c-9cbccf7bc202,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
8,81e097af-18e2-4cac-8db5-6549af487b14,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
9,eecc68f8-28b8-44d2-8cd8-4f359193cfcb,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
10,f936fe68-9d8c-4fea-813d-b80b7203571d,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
11,3cb58c5f-7f49-4c63-81a9-7da41492e1f4,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,"missing bottom half, can't tell if it has the prolegs or anal tufts",71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
12,d95f10a9-8b09-47a4-81c4-5e876e43efe9,Megaloptera,Corydalidae,(Megaloptera) Corydalidae,,,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
13,823bc5fb-1ee3-47e5-803c-7b59f2916fb8,Ephemeroptera,Heptageniidae,(Ephemeroptera) Heptageniidae,,front legs ripped off of specimen,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
14,303e89e5-15e6-4fae-86d4-9f26d996eef5,Ephemeroptera,Heptageniidae,(Ephemeroptera) Heptageniidae,,,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
15,0603eed2-f482-4e56-8c59-3d5d64c34998,Ephemeroptera,Heptageniidae,(Ephemeroptera) Heptageniidae,,,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
16,ff97af8e-2a4d-4762-8e5b-d3f74aa0b49d,Megaloptera,Sialidae,(Megaloptera) Sialidae,,,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
17,f82e3139-618b-4ba6-87de-f53cdbc6cb7b,Diptera,Athericidae,(Diptera) Undet. Diptera,,Syrphidae,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
18,259c93f3-3e4d-4b80-801f-7057d3e317bb,Diptera,Athericidae,(Diptera) Undet. Diptera,,Syrphidae,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
19,0fd0f3d8-a7ae-44f7-8fc9-88affd09114a,Diptera,Athericidae,(Diptera) Undet. Diptera,,Syrphidae,71930482-a369-462c-800c-1ba52fd6f119,1/5/2021 16:50,keleigh.reynolds@dec.ny.gov_nysdec,1/5/2021 18:20,keleigh.reynolds@dec.ny.gov_nysdec
20,62848ba1-9e2e-455f-85c1-7f12034639d1,Crustacea,Cambaridae,(Crustacea) Cambaridae,,,ed4f2e19-4b83-43db-816c-288f534469f3,1/5/2021 19:44,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 13:47,keleigh.reynolds@dec.ny.gov_nysdec
21,c2a76368-a022-40c3-8dfd-cade14815b72,Wormlike,Hirudinea,(Wormlike) Hirudinea,,,ed4f2e19-4b83-43db-816c-288f534469f3,1/5/2021 19:44,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 13:47,keleigh.reynolds@dec.ny.gov_nysdec
22,0ffcec2d-a7aa-4979-83fc-6f573968953a,Wormlike,Hirudinea,(Wormlike) Hirudinea,,,ed4f2e19-4b83-43db-816c-288f534469f3,1/5/2021 19:44,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 13:47,keleigh.reynolds@dec.ny.gov_nysdec
23,428f40f0-30f9-4c96-8154-43e69c416c5b,Crustacea,Amphipoda,(Crustacea) Amphipoda,,,ed4f2e19-4b83-43db-816c-288f534469f3,1/5/2021 19:44,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 13:47,keleigh.reynolds@dec.ny.gov_nysdec
24,e63545f6-2c69-48ac-8388-ae53545f4337,Crustacea,Amphipoda,(Crustacea) Amphipoda,,,ed4f2e19-4b83-43db-816c-288f534469f3,1/5/2021 19:44,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 13:47,keleigh.reynolds@dec.ny.gov_nysdec
25,9ca63c56-b1c1-4af2-8eca-0ea780f8be9f,Crustacea,Amphipoda,(Crustacea) Amphipoda,,,ed4f2e19-4b83-43db-816c-288f534469f3,1/5/2021 19:44,keleigh.reynolds@dec.ny.gov_nysdec,3/23/2021 13:47,keleigh.reynolds@dec.ny.gov_nysdec
