stationID,Lat,Lon,Stream Name,Assessment,Individual Sample Results,site_id
-73.157_40.748,-73.157,40.748,West Brook,No Conclusion,09/22/2021:No Conclusion,40.748_-73.157
-73.244_42.326,-73.244,42.326,Black River,No Conclusion,09/26/2020:No Conclusion,42.326_-73.244
-73.251_40.732,-73.251,40.732,Penataquit Creek,No Conclusion,09/03/2021:No Conclusion,40.732_-73.251
-73.3_43.103,-73.3,43.103,Camden Creek,No Conclusion,07/17/2021:No Conclusion,43.103_-73.3
-73.301_43.104,-73.301,43.104,Camden Creek,No Known Impact,09/11/2021:No Known Impact,43.104_-73.301
-73.305_43.094,-73.305,43.094,Murray Hollow,No Conclusion,08/27/2021:No Conclusion,43.094_-73.305
-73.343_42.381,-73.343,42.381,Wynants Kill,No Conclusion,09/01/2020:No Conclusion,42.381_-73.343
-73.35_42.422,-73.35,42.422,Quackenkill,No Known Impact,07/26/2020:No Known Impact,42.422_-73.35
-73.353_42.422,-73.353,42.422,Poestenkill,No Known Impact,07/26/2020:No Known Impact,42.422_-73.353
-73.473_42.846,-73.473,42.846,Sunkauissia,No Known Impact,"09/13/2020:No Known Impact
09/13/2020:No Conclusion",42.846_-73.473
-73.499_42.879,-73.499,42.879,Otter Creek,No Conclusion,07/29/2020:No Conclusion,42.879_-73.499
-73.5_43.747,-73.5,43.747,Hauge Brook,No Known Impact,"08/10/2021:No Known Impact
08/28/2021:No Conclusion",43.747_-73.5
-73.501_42.56,-73.501,42.56,Tsatsawasick,No Known Impact,08/14/2021:No Known Impact,42.56_-73.501
-73.501_43.73,-73.501,43.73,Jenkins Brook,No Known Impact,"08/18/2020:No Known Impact
08/10/2021:No Known Impact",43.73_-73.501
-73.503_43.738,-73.503,43.738,Hague (Unknown),No Conclusion,09/25/2020:No Conclusion,43.738_-73.503
-73.505_43.75,-73.505,43.75,Hague Brook,No Known Impact,08/18/2020:No Known Impact,43.75_-73.505
-73.507_43.636,-73.507,43.636,Foster Brook,No Known Impact,09/22/2021:No Known Impact,43.636_-73.507
-73.507_43.64,-73.507,43.64,Fairy Brook,No Known Impact,"09/22/2021:No Known Impact
09/01/2020:No Known Impact",43.64_-73.507
-73.508_43.635,-73.508,43.635,Foster Brook,No Known Impact,09/01/2020:No Known Impact,43.635_-73.508
-73.515_42.514,-73.515,42.514,Kinderhook Creek Preserve,No Known Impact,07/25/2020:No Known Impact,42.514_-73.515
-73.516_42.514,-73.516,42.514,Tsatsawasick,No Conclusion,07/25/2020:No Conclusion,42.514_-73.516
-73.525_42.492,-73.525,42.492,Mohawk River Tributary,No Conclusion,09/10/2021:No Conclusion,42.492_-73.525
-73.525_42.493,-73.525,42.493,Mohawk River Tributary,No Conclusion,09/10/2021:No Conclusion,42.493_-73.525
-73.543_42.869,-73.543,42.869,Otter Creek,No Conclusion,08/10/2021:No Conclusion,42.869_-73.543
-73.562_41.02,-73.562,41.02,Minor Tribs Upper Sparkill Creek,No Conclusion,07/30/2020:No Conclusion,41.02_-73.562
-73.578_42.698,-73.578,42.698,Poestenkill,No Known Impact,08/07/2021:No Known Impact,42.698_-73.578
-73.597_43.521,-73.597,43.521,Shelving Rock Brook,No Known Impact,07/29/2021:No Known Impact,43.521_-73.597
-73.597_43.552,-73.597,43.552,Shelving Rock Brook,No Conclusion,09/27/2020:No Conclusion,43.552_-73.597
-73.607_43.625,-73.607,43.625,North West Bay Brook,No Known Impact,08/06/2020:No Known Impact,43.625_-73.607
-73.607_43.626,-73.607,43.626,Northwest Bay Brook,No Known Impact,07/01/2021:No Known Impact,43.626_-73.607
-73.619_42.876,-73.619,42.876,Check,No Conclusion,09/19/2021:No Conclusion,42.876_-73.619
