ObjectID,GlobalID,Order,Family,Final ID,"Please describe the ""other"" bug",Please include any other notes about the particular bug.,ParentGlobalID,,CreationDate,Creator,EditDate,Editor,bug_num
1857,889256a3-6735-42dd-82e2-42da71ff3d28,Plecoptera,Perlidae,(Plecoptera) Perlidae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,3
1858,50305746-cd0d-49d9-8e2f-d7e6e6592c8a,OTHER,,(OTHER) ,"millipede, non aquatic",,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1
1859,4167e592-ac05-4a16-81c2-2bb98471e833,Megaloptera,Corydalidae,(Megaloptera) Corydalidae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,2
1860,3a0c4d1f-6324-47ba-8c7a-574a3086d15f,Ephemeroptera,Heptageniidae,(Ephemeroptera) Heptageniidae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1
1861,ac38dcc1-abd4-406e-8929-2cbdbe43ee99,Ephemeroptera,Baetidae,(Ephemeroptera) Baetidae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1
1862,6073ab0e-04cb-4bb5-831e-f3afc24c1aeb,Ephemeroptera,Ephemerellidae,(Ephemeroptera) Ephemerellidae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1
1863,be9ebd9f-ced9-4764-82c7-62e5d996722b,Diptera: Chironomidae,Chironomus,(Diptera: Chironomidae) ,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1
1864,9d60768c-0a11-4c9d-8643-d7620ffb2c47,Trichoptera,Philopotamidae,(Trichoptera) Philopotamidae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,3
1865,ef98b38c-ef08-441e-8db8-6a9a4959a7d7,Trichoptera,Hydropsychidae,(Trichoptera) Hydropsychidae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,4
1866,b9d6b57a-6c0a-4f39-8785-3d647cb3c8ee,Trichoptera,Limnephilidae,(Trichoptera) Limnephilidae,,,688d7fe7-63b4-4beb-8819-cea681620575,,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,1/10/2023 18:26,keleigh.reynolds@dec.ny.gov_nysdec,
