"","site_id","lat","long","year","Historical_results","Current_WAVE_Score"
"1","4.0876_-73.917",4.088,-73.917,"2023","2023: No Conclusion","No Conclusion"
"2","40.662_-73.604",40.662,-73.604,"2019","2019: No Conclusion
2018: No Conclusion","No Conclusion"
"3","40.664_-73.654",40.664,-73.654,"2017","2017: No Conclusion","No Conclusion"
"4","40.691_-73.358",40.691,-73.358,"2017","2017: No Conclusion","No Conclusion"
"5","40.703_-73.328",40.703,-73.328,"2017","2017: No Conclusion","No Conclusion"
"6","40.714_-73.328",40.714,-73.328,"2017","2017: No Conclusion","No Conclusion"
"7","40.732_-73.251",40.732,-73.251,"2017","2017: Possibly Impaired","Possibly Impaired"
"8","40.755_-73.745",40.755,-73.745,"2017","2017: No Conclusion","No Conclusion"
"9","40.773_-73.033",40.773,-73.033,"2017","2017: No Conclusion","No Conclusion"
"10","40.85_-73.224",40.85,-73.224,"2017","2017: Possibly Impaired","Possibly Impaired"
"11","40.885_-73.617",40.885,-73.617,"2017","2017: No Conclusion","No Conclusion"
"12","40.905_-73.814",40.905,-73.814,"2022","2022: No Conclusion","No Conclusion"
"13","40.908_-73.884",40.908,-73.884,"2016","2016: Possibly Impaired","Possibly Impaired"
"14","40.908_-73.89",40.908,-73.89,"2016","2016: No Conclusion","No Conclusion"
"15","40.914_-73.884",40.914,-73.884,"2016","2016: Possibly Impaired","Possibly Impaired"
"16","40.951_-73.798",40.951,-73.798,"2022","2022: No Conclusion","No Conclusion"
"17","40.99_-73.863",40.99,-73.863,"2019","2019: No Conclusion
2018: No Conclusion
2017: No Conclusion
2016: No Conclusion","No Conclusion"
"18","41.019_-73.846",41.019,-73.846,"2019","2019: No Conclusion
2018: No Conclusion
2017: No Conclusion
2016: No Conclusion","No Conclusion"
"19","41.019_-73.947",41.019,-73.947,"2019","2019: No Conclusion","No Conclusion"
"20","41.019_-74.082",41.019,-74.082,"2017","2017: No Conclusion","No Conclusion"
"21","41.02_-73.947",41.02,-73.947,"2018","2018: No Conclusion","No Conclusion"
"22","41.021_-73.947",41.021,-73.947,"2017","2017: No Conclusion","No Conclusion"
"23","41.029_-73.925",41.029,-73.925,"2014","2014: Possibly Impaired","Possibly Impaired"
"24","41.029_-73.926",41.029,-73.926,"2016","2016: Possibly Impaired","Possibly Impaired"
"25","41.03_-73.925",41.03,-73.925,"2016","2016: No Conclusion","No Conclusion"
"26","41.036_-73.907",41.036,-73.907,"2018","2018: No Conclusion","No Conclusion"
"27","41.044_-73.939",41.044,-73.939,"2020","2020: No Conclusion","No Conclusion"
"28","41.045_-73.945",41.045,-73.945,"2017","2017: No Conclusion
2016: No Conclusion","No Conclusion"
"29","41.046_-73.944",41.046,-73.944,"2023","2023: No Conclusion","No Conclusion"
