"WA_SAMPLE_ID","WA_ASSESSMENT"
"40.6615_-73.6036_20180929","no conclusion"
"40.6615_-73.6035_20190913","no conclusion"
"40.664_-73.6539_20170726","no conclusion"
"40.6688_-73.4829_20170909","no conclusion"
"40.6914_-73.3575_20170701","no conclusion"
"40.7033_-73.3277_20170917","no conclusion"
"40.714_-73.3279_20170917","no conclusion"
"40.7158_-73.3287_20170917","no conclusion"
"40.7324_-73.2507_20170804","possibly impaired"
"40.7324_-73.2507_20170804","possibly impaired"
"40.7549_-73.7453_20170728","no conclusion"
"40.7566_-73.7461_20170728","no conclusion"
"40.7728_-73.033_20170929","no conclusion"
"40.8498_-73.2237_20170917","possibly impaired"
"40.8847_-73.6174_20170902","no conclusion"
"40.9079_-73.8896_20160805","no conclusion"
"40.9079_-73.8842_20160805","possibly impaired"
"40.9138_-73.8835_20160805","possibly impaired"
"40.9899_-73.8632_20160925","no conclusion"
"40.9899_-73.8632_20180929","no conclusion"
"40.9899_-73.8632_20170930","no conclusion"
"40.9899_-73.8632_20190818","no conclusion"
"41.0188_-73.8457_20160925","no conclusion"
"41.0188_-73.8457_20180929","no conclusion"
"41.0188_-73.8457_20170930","no conclusion"
"41.0188_-73.8457_20190818","no conclusion"
"41.019_-73.947_20190712","no conclusion"
"41.0193_-74.0824_20170710","no conclusion"
"41.0198_-73.947_20180716","no conclusion"
"41.0208_-73.9474_20170728","no conclusion"
"41.0292_-73.9257_20160804","possibly impaired"
"41.0294_-73.9254_20140828","possibly impaired"
"41.0303_-73.9247_20160803","no conclusion"
"41.0358_-73.9067_20180718","no conclusion"
"41.0362_-73.9091_20180724","no conclusion"
"41.0446_-73.9451_20160810","no conclusion"
"41.0447_-73.9451_20170711","no conclusion"
"41.0516_-73.9455_20150722","no conclusion"
"41.0519_-73.945_20170711","possibly impaired"
"41.0587_-73.9917_20180709","no conclusion"
"41.0589_-73.992_20190729","no conclusion"
"41.0589_-73.9919_20160804","no conclusion"
"41.059_-73.9928_20170710","no conclusion"
"41.0599_-74.0236_20150722","no conclusion"
"41.0599_-74.0236_20160808","possibly impaired"
"41.0622_-73.9458_20160803","no conclusion"
"41.0664_-74.0394_20170726","no conclusion"
"41.0679_-74.0264_20170726","no conclusion"
"41.0681_-74.04_20180807","no conclusion"
"41.0681_-74.04_20190708","no conclusion"
"41.0683_-74.0264_20180709","no conclusion"
"41.0683_-74.0264_20190708","no conclusion"
"41.0688_-73.9375_20170718","no conclusion"
"41.0688_-73.9375_20160803","no known impact"
"41.0827_-74.0825_20160808","no conclusion"
"41.0828_-74.0825_20150722","possibly impaired"
"41.0864_-73.9627_20160804","possibly impaired"
"41.0872_-74.0803_20190729","no conclusion"
"41.0916_-74.0828_20180806","no conclusion"
"41.1145_-74.22_20160711","no conclusion"
"41.118_-74.0438_20150729","possibly impaired"
"41.118_-74.0438_20160725","no conclusion"
"41.1181_-73.9445_20180730","no conclusion"
"41.1181_-73.9445_20190729","no conclusion"
"41.1182_-73.9446_20170703","no conclusion"
"41.1213_-73.8672_20120823","no conclusion"
"41.1213_-73.8334_20120918","no conclusion"
"41.1256_-73.4476_20170810","no conclusion"
"41.1324_-73.8187_20120708","possibly impaired"
"41.1324_-73.8187_20120915","possibly impaired"
"41.1338_-73.9433_20170703","possibly impaired"
"41.1338_-73.5903_20160711","no conclusion"
"41.1339_-73.9433_20180730","possibly impaired"
"41.1339_-73.9433_20190729","no conclusion"
"41.1349_-74.1634_20180919","no conclusion"
"41.135_-74.163_20160724","no conclusion"
"41.1351_-74.1636_20190715","no conclusion"
"41.1352_-74.1632_20170817","no conclusion"
"41.1442_-74.1151_20180709","no conclusion"
"41.1442_-74.1149_20170808","no conclusion"
"41.1446_-74.1151_20160811","no conclusion"
"41.1454_-73.9959_20180718","no conclusion"
"41.1456_-73.9944_20190808","no conclusion"
"41.1456_-73.8606_20140711","possibly impaired"
"41.146_-74.1144_20160707","no conclusion"
"41.146_-73.996_20170828","no conclusion"
"41.146_-71.1144_20190909","no conclusion"
"41.1467_-74.1116_20150701","no known impact"
"41.1467_-73.9979_20150708","no conclusion"
"41.1468_-73.9978_20160716","possibly impaired"
"41.1503_-74.0964_20160707","no conclusion"
"41.1504_-74.0956_20150715","possibly impaired"
"41.151_-74.197_20130808","no conclusion"
"41.1547_-74.196_20170726","no conclusion"
"41.1548_-74.1964_20160718","no known impact"
"41.1548_-74.1961_20190715","no known impact"
"41.1549_-74.1959_20150715","no known impact"
"41.1578_-73.9668_20170921","no conclusion"
"41.1618_-74.1887_20160718","no conclusion"
"41.1619_-74.1884_20150715","no known impact"
"41.1621_-74.1887_20130808","possibly impaired"
"41.1624_-74.0082_20170717","no conclusion"
"41.1628_-74.0051_20160808","no conclusion"
"41.1632_-74.0086_20160808","no conclusion"
"41.1639_-74.006_20170717","no conclusion"
"41.164_-74.006_20160725","no conclusion"
"41.1644_-73.8621_20140709","no conclusion"
"41.1649_-74.0077_20170717","possibly impaired"
"41.1734_-74.0002_20150805","no conclusion"
"41.1735_-74.0002_20160725","no conclusion"
"41.1749_-74.0005_20190701","no conclusion"
"41.175_-74.001_20180722","no conclusion"
"41.1835_-74.0135_20150729","no conclusion"
"41.1852_-73.8686_20140709","no conclusion"
"41.186_-74.012_20170811","no conclusion"
"41.1909_-73.8701_20140702","no conclusion"
"41.1925_-74.0417_20150708","possibly impaired"
"41.196_-74.039_20190805","no conclusion"
"41.1962_-74.0389_20170710","no conclusion"
"41.1963_-74.0394_20180819","no conclusion"
