"WMFDH_SAMPLE_ID","WMFDH_MACRO_FAMILY"
"40.6615_-73.6036_20180929","(CRUSTACEA) ASELLIDAE"
"40.6615_-73.6036_20180929","(DIPTERA) CHIRONOMIDAE"
"40.6615_-73.6036_20180929","(WORMLIKE) OLIGOCHAETA"
"40.6615_-73.6036_20180929","(WORMLIKE) TURBELLARIA"
"40.6615_-73.6035_20190913","(COLEOPTERA) DYTISCIDAE"
"40.6615_-73.6035_20190913","(HEMIPTERA)"
"40.6615_-73.6035_20190913","(WORMLIKE) TURBELLARIA"
"40.664_-73.6539_20170726","(CRUSTACEA) AMPHIPODA"
"40.664_-73.6539_20170726","(HEMIPTERA)"
"40.6688_-73.4829_20170909","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"40.6688_-73.4829_20170909","(ODONATA) LIBELLULIDAE"
"40.6914_-73.3575_20170701","(COLEOPTERA) DYTISCIDAE"
"40.6914_-73.3575_20170701","(CRUSTACEA) AMPHIPODA"
"40.6914_-73.3575_20170701","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"40.6914_-73.3575_20170701","(WORMLIKE) HIRUDINEA"
"40.6914_-73.3575_20170701","(WORMLIKE) OLIGOCHAETA"
"40.7033_-73.3277_20170917","(CRUSTACEA) AMPHIPODA"
"40.7033_-73.3277_20170917","(EPHEMEROPTERA) HEPTAGENIIDAE"
"40.7033_-73.3277_20170917","(TRICHOPTERA) HYDROPSYCHIDAE"
"40.7033_-73.3277_20170917","(WORMLIKE) OLIGOCHAETA"
"40.714_-73.3279_20170917","(COLEOPTERA) ELMIDAE"
"40.714_-73.3279_20170917","(CRUSTACEA) AMPHIPODA"
"40.714_-73.3279_20170917","(HEMIPTERA) CORIXIDAE"
"40.714_-73.3279_20170917","(TRICHOPTERA) HYDROPSYCHIDAE"
"40.714_-73.3279_20170917","(WORMLIKE) OLIGOCHAETA"
"40.7158_-73.3287_20170917","(CRUSTACEA) AMPHIPODA"
"40.7158_-73.3287_20170917","(EPHEMEROPTERA) HEPTAGENIIDAE"
"40.7158_-73.3287_20170917","(TRICHOPTERA) HYDROPSYCHIDAE"
"40.7158_-73.3287_20170917","(WORMLIKE) HIRUDINEA"
"40.7158_-73.3287_20170917","(WORMLIKE) OLIGOCHAETA"
"40.7158_-73.3287_20170917","(WORMLIKE) TURBELLARIA"
"40.7324_-73.2507_20170804","(CRUSTACEA) AMPHIPODA"
"40.7324_-73.2507_20170804","(CRUSTACEA) ASELLIDAE"
"40.7324_-73.2507_20170804","(DIPTERA) CHIRONOMIDAE"
"40.7324_-73.2507_20170804","(DIPTERA) SIMULIIDAE"
"40.7324_-73.2507_20170804","(EPHEMEROPTERA) BAETIDAE"
"40.7324_-73.2507_20170804","(MOLLUSCA) PHYSIDAE"
"40.7324_-73.2507_20170804","(TRICHOPTERA) HYDROPSYCHIDAE"
"40.7324_-73.2507_20170804","(WORMLIKE) HIRUDINEA"
"40.7324_-73.2507_20170804","(WORMLIKE) OLIGOCHAETA"
"40.7324_-73.2507_20170804","(WORMLIKE) TURBELLARIA"
"40.7549_-73.7453_20170728","(CRUSTACEA) AMPHIPODA"
"40.7549_-73.7453_20170728","(CRUSTACEA) ASELLIDAE"
"40.7566_-73.7461_20170728","(CRUSTACEA) AMPHIPODA"
"40.7566_-73.7461_20170728","(CRUSTACEA) ASELLIDAE"
"40.7566_-73.7461_20170728","(WORMLIKE) OLIGOCHAETA"
"40.7728_-73.033_20170929","(CRUSTACEA) AMPHIPODA"
"40.7728_-73.033_20170929","(CRUSTACEA) ASELLIDAE"
"40.7728_-73.033_20170929","(DIPTERA) CHIRONOMIDAE"
"40.8498_-73.2237_20170917","(COLEOPTERA) ELMIDAE"
"40.8498_-73.2237_20170917","(CRUSTACEA) AMPHIPODA"
"40.8498_-73.2237_20170917","(CRUSTACEA) ASELLIDAE"
"40.8498_-73.2237_20170917","(MEGALOPTERA) CORYDALIDAE"
"40.8498_-73.2237_20170917","(MOLLUSCA) PELECYPODA"
"40.8498_-73.2237_20170917","(MOLLUSCA) PHYSIDAE"
"40.8498_-73.2237_20170917","(WORMLIKE) OLIGOCHAETA"
"40.8498_-73.2237_20170917","(WORMLIKE) TURBELLARIA"
"40.8847_-73.6174_20170902","(COLEOPTERA)"
"40.8847_-73.6174_20170902","(COLEOPTERA) ELMIDAE"
"40.8847_-73.6174_20170902","(CRUSTACEA) AMPHIPODA"
"40.8847_-73.6174_20170902","(CRUSTACEA) ASELLIDAE"
"40.8847_-73.6174_20170902","(DIPTERA) CHIRONOMIDAE"
"40.8847_-73.6174_20170902","(DIPTERA) SIMULIIDAE"
"40.8847_-73.6174_20170902","(DIPTERA) TIPULIDAE"
"40.8847_-73.6174_20170902","(TRICHOPTERA) HYDROPSYCHIDAE"
"40.8847_-73.6174_20170902","(TRICHOPTERA) PHILOPOTAMIDAE"
"40.8847_-73.6174_20170902","(WORMLIKE) OLIGOCHAETA"
"40.9079_-73.8896_20160805","(DIPTERA) CHIRONOMIDAE"
"40.9079_-73.8896_20160805","(MOLLUSCA) PELECYPODA"
"40.9079_-73.8896_20160805","(ODONATA) COENAGRIONIDAE"
"40.9079_-73.8896_20160805","(ODONATA) LIBELLULIDAE"
"40.9079_-73.8896_20160805","(TRICHOPTERA) HYDROPSYCHIDAE"
"40.9079_-73.8896_20160805","(WORMLIKE) HIRUDINEA"
"40.9079_-73.8896_20160805","(WORMLIKE) OLIGOCHAETA"
"40.9079_-73.8842_20160805","(CRUSTACEA) AMPHIPODA"
"40.9079_-73.8842_20160805","(DIPTERA) CHIRONOMIDAE"
"40.9079_-73.8842_20160805","(DIPTERA) SIMULIIDAE"
"40.9079_-73.8842_20160805","(MOLLUSCA) PELECYPODA"
"40.9079_-73.8842_20160805","(MOLLUSCA) PLANORBIDAE"
"40.9079_-73.8842_20160805","(TRICHOPTERA) HYDROPSYCHIDAE"
"40.9079_-73.8842_20160805","(WORMLIKE) HIRUDINEA"
"40.9079_-73.8842_20160805","(WORMLIKE) OLIGOCHAETA"
"40.9138_-73.8835_20160805","(COLEOPTERA)"
"40.9138_-73.8835_20160805","(CRUSTACEA) AMPHIPODA"
"40.9138_-73.8835_20160805","(DIPTERA) CHIRONOMIDAE"
"40.9138_-73.8835_20160805","(DIPTERA) SIMULIIDAE"
"40.9138_-73.8835_20160805","(MOLLUSCA) PELECYPODA"
"40.9138_-73.8835_20160805","(TRICHOPTERA) HYDROPSYCHIDAE"
"40.9138_-73.8835_20160805","(WORMLIKE) HIRUDINEA"
"40.9138_-73.8835_20160805","(WORMLIKE) OLIGOCHAETA"
"40.9138_-73.8835_20160805","(WORMLIKE) TURBELLARIA"
"40.9899_-73.8632_20160925","(ODONATA) CALOPTERYGIDAE"
"40.9899_-73.8632_20160925","(ODONATA) COENAGRIONIDAE"
"40.9899_-73.8632_20160925","(TRICHOPTERA) HYDROPSYCHIDAE"
"40.9899_-73.8632_20160925","(WORMLIKE) OLIGOCHAETA"
"40.9899_-73.8632_20190818","(MOLLUSCA) CORBICULIDAE"
"40.9899_-73.8632_20190818","(TRICHOPTERA) HYDROPSYCHIDAE"
"40.9899_-73.8632_20190818","(TRICHOPTERA) PHILOPOTAMIDAE"
"40.9899_-73.8632_20180929","(TRICHOPTERA) HYDROPSYCHIDAE"
"40.9899_-73.8632_20180929","(WORMLIKE) OLIGOCHAETA"
"40.9899_-73.8632_20180929","(MOLLUSCA) VALVATIDAE"
"40.9899_-73.8632_20170930","(DIPTERA) CHIRONOMIDAE"
