"WA_SAMPLE_ID","WA_ASSESSMENT"
"42.69821_-73.5778709_20210807","no known impact"
"41.1333_-74.008623_20210801","no conclusion"
"42.53515_-78.096638_20210824","no known impact"
"42.7386_-73.625038_20200828","no conclusion"
"43.63991_73.506861_20210922","no known impact"
"43.3995_-73.728054_20210713","no conclusion"
"43.61559_-73.62215_20210810","no known impact"
"43.07519_-73.928291_20210911","no known impact"
"42.139900000000004_-75.8938_20210830","no conclusion"
"42.86918_-73.543262_20210810","no conclusion"
"43.01701_-76.21619_20210926","no conclusion"
"43.48974_-73.682396_20210701","no known impact"
"43.436538917613134_-75.89179234746005_20210711","no known impact"
"43.41599_-73.71744633_20210831","no conclusion"
"41.85097_-74.113611_20210726","no known impact"
"42.81588_-78.167549_20210730","no known impact"
"41.88386_-74.117778_20210927","no conclusion"
"42.5598_-73.5014273_20210814","no known impact"
"43.56344_-73.653237_20210709","no conclusion"
"42.53522_-78.421988_20210908","no known impact"
"41.21234_-73.97038_20210920","no conclusion"
"43.10274_-73.2997915_20210717","no conclusion"
"42.5556_-76.677_20210906","no conclusion"
"42.61354817573475_-73.63811934831939_20210906","no conclusion"
"42.84864_-78.04354_20210730","no conclusion"
"43.57533_-73.80309_20210701","no conclusion"
"42.6392_-78.138339_20210824","no known impact"
"43.4091_-73.700574_20210722","no conclusion"
"41.14591_-74.1144_20210719","no conclusion"
"41.48287_-74.086142_20210921","no conclusion"
"43.50932_-73.6227278_20210825","no conclusion"
"42.56312_-78.343175_20210830","no known impact"
"41.53948_-74.041596_20210913","no conclusion"
"42.82753884090288_-73.88129233547046_20210910","no conclusion"
"43.09359_-73.30455_20210827","no conclusion"
"42.02088_-73.97984_20210927","no known impact"
"41.939222_-74.06089_20210927","no conclusion"
"42.73964_-74.3335058_20210924","no known impact"
"41.16869_-73.99977_20210809","no known impact"
"42.55988_-78.377997_20210901","no known impact"
"43.43616_-73.718058_20210729","no conclusion"
"42.5203_-76.9789_20210830","no conclusion"
"43.40184_-73.73477_20210713","no known impact"
"42.5598_-73.5014273_20210814","no conclusion"
"43.62591_-73.60712_20210701","no known impact"
"43.436538917613134_-75.89179234746005_20210711","no conclusion"
"43.55211_-73.597481_20210729","no known impact"
"41.939222_-74.06089_20210927","no known impact"
"42.57864_-78.253237_20210728","no known impact"
"42.73964_-74.3335058_20210924","no conclusion"
"42.19683_-74.09661_20210821","no known impact"
"43.43861_-73.726944_20210701","no known impact"
"43.74664_-73.499771_20210810","no known impact"
"42.6749_-73.69926_20200807","no conclusion"
"41.1978899999993_-74.03895999999875_20210720","no conclusion"
"43.72966_-73.501025_20210810","no known impact"
"42.5716_-78.171552_20210825","no conclusion"
"41.72417_-73.967778_20210904","no conclusion"
"43.41795_-73.71143_20210803","no known impact"
"43.62591_-73.60712_20210701","no conclusion"
"40.74827_-73.15653_20210922","no conclusion"
"43.10381_-73.300381_20210911","no known impact"
"42.01744_-73.725491_20210928","no conclusion"
"42.2848_-75.8892_20210817","no known impact"
"43.74722_-73.50028_20210828","no conclusion"
"43.48974_-73.682396_20210701","no conclusion"
"42.74066_-78.136131_20210827","no conclusion"
"43.4365_-75.89164_20210711","no conclusion"
"42.555703386891054_-73.67699945370487_20210906","no known impact"
"42.6134_-76.6386_20210916","no known impact"
"41.88486_-74.144252_20210723","no conclusion"
"43.63641_-73.507418_20210922","no known impact"
"42.99941_-73.7305491_20210927","no known impact"
"42.60986_-78.257826_20210817","no conclusion"
"42.4044_-76.5127_20210913","no conclusion"
"42.80756_-76.70071_20210727","no conclusion"
"42.80749186590226_-76.70036315925239_20210727","no conclusion"
"42.63552_-73.800574_20210924","no conclusion"
"2.87639_-73.618638_20210919","no conclusion"
"40.73242_-73.250664_20210903","no conclusion"
"42.19243_-74.09073_20210926","no known impact"
"41.85097_-74.113611_20210726","no conclusion"
"42.53474_-78.422557_20210908","no known impact"
"4120546_-73.845612_20210727","no conclusion"
"41.02055_-73.845612_20210727","no conclusion"
"42.02088_-73.97984_20210927","no conclusion"
"42.87925_-73.49916_20200729","no conclusion"
"43.57533_-73.80309_20210701","no known impact"
"41.50602_-74.125607_20210924","no conclusion"
"42.5595_-78.158155_20210816","no known impact"
"44.38166519404465_-74.23713240935848_20210926","no known impact"
"41.16869_-73.99977_20210809","no conclusion"
"41.146_-73.994_20210831","no conclusion"
"43.43861_-73.726944_20210701","no conclusion"
"42.5173_-73.7068_20210926","no conclusion"
"43.138_-73.877726_20210930","no known impact"
"44.38166519404465_-74.23713240935848_20210926","no conclusion"
