"WMFDH_SAMPLE_ID","WMFDH_MACRO_FAMILY"
"42.80756_-76.70071_20210727","(WORMLIKE) OLIGOCHAETA"
"42.80749186590226_-76.70036315925239_20210727","(WORMLIKE) OLIGOCHAETA"
"42.80756_-76.70071_20210727","(TRICHOPTERA) PHILOPOTAMIDAE"
"42.80749186590226_-76.70036315925239_20210727","(TRICHOPTERA) PHILOPOTAMIDAE"
"42.80756_-76.70071_20210727","(TRICHOPTERA) HYDROPSYCHIDAE"
"42.80749186590226_-76.70036315925239_20210727","(TRICHOPTERA) HYDROPSYCHIDAE"
"42.80756_-76.70071_20210727","(CRUSTACEA: AMPHIPODA) GAMMARIDEA"
"42.80749186590226_-76.70036315925239_20210727","(CRUSTACEA: AMPHIPODA) GAMMARIDEA"
"42.80756_-76.70071_20210727","(EPHEMEROPTERA) HEPTAGENIIDAE"
"42.80749186590226_-76.70036315925239_20210727","(EPHEMEROPTERA) HEPTAGENIIDAE"
"42.80756_-76.70071_20210727","(DIPTERA) TIPULIDAE"
"42.80749186590226_-76.70036315925239_20210727","(DIPTERA) TIPULIDAE"
"42.80756_-76.70071_20210727","(COLEOPTERA) PSEPHENIDAE"
"42.80749186590226_-76.70036315925239_20210727","(COLEOPTERA) PSEPHENIDAE"
"42.80756_-76.70071_20210727","(COLEOPTERA) ELMIDAE"
"42.80749186590226_-76.70036315925239_20210727","(COLEOPTERA) ELMIDAE"
"42.80756_-76.70071_20210727","(MEGALOPTERA) CORYDALIDAE"
"42.80749186590226_-76.70036315925239_20210727","(MEGALOPTERA) CORYDALIDAE"
"42.80756_-76.70071_20210727","(TRICHOPTERA) RHYACOPHILIDAE"
"42.80749186590226_-76.70036315925239_20210727","(TRICHOPTERA) RHYACOPHILIDAE"
"42.139900000000004_-75.8938_20210830","(WORMLIKE) OLIGOCHAETA"
"42.139900000000004_-75.8938_20210830","(EPHEMEROPTERA) BAETIDAE"
"42.139900000000004_-75.8938_20210830","(DIPTERA: CHIRONOMIDAE) CHIRONOMUS"
"42.139900000000004_-75.8938_20210830","(HEMIPTERA) OTHER"
"42.139900000000004_-75.8938_20210830","(TRICHOPTERA) HYDROPSYCHIDAE"
"42.139900000000004_-75.8938_20210830","(DIPTERA) SIMULIIDAE"
"42.139900000000004_-75.8938_20210830","(TRICHOPTERA) PHILOPOTAMIDAE"
"42.139900000000004_-75.8938_20210830","(EPHEMEROPTERA) HEPTAGENIIDAE"
"42.139900000000004_-75.8938_20210830","(PLECOPTERA) PERLIDAE"
"42.139900000000004_-75.8938_20210830","(TRICHOPTERA) PHILOPOTAMIDAE"
"42.139900000000004_-75.8938_20210830","(EPHEMEROPTERA) ISONYCHIIDAE"
"42.139900000000004_-75.8938_20210830","(HEMIPTERA) OTHER"
"43.436538917613134_-75.89179234746005_20210711","(COLEOPTERA) PSEPHENIDAE"
"43.436538917613134_-75.89179234746005_20210711","(COLEOPTERA) ELMIDAE"
"43.436538917613134_-75.89179234746005_20210711","(MEGALOPTERA) SIALIDAE"
"43.436538917613134_-75.89179234746005_20210711","(DIPTERA) TIPULIDAE"
"43.436538917613134_-75.89179234746005_20210711","(CRUSTACEA: DECAPODA) PLEOCYEMATA: CAMBARIDAE"
"43.436538917613134_-75.89179234746005_20210711","(DIPTERA) ATHERICIDAE"
"43.436538917613134_-75.89179234746005_20210711","(TRICHOPTERA) PHILOPOTAMIDAE"
"43.436538917613134_-75.89179234746005_20210711","(EPHEMEROPTERA) ISONYCHIIDAE"
"43.436538917613134_-75.89179234746005_20210711","(EPHEMEROPTERA) CAENIDAE"
"43.436538917613134_-75.89179234746005_20210711","(TRICHOPTERA) HYDROPSYCHIDAE"
"43.436538917613134_-75.89179234746005_20210711","(TRICHOPTERA) BRACHYCENTRIDAE"
"43.436538917613134_-75.89179234746005_20210711","(PLECOPTERA) PERLIDAE"
"43.436538917613134_-75.89179234746005_20210711","(DIPTERA) ATHERICIDAE"
"43.436538917613134_-75.89179234746005_20210711","(MEGALOPTERA) CORYDALIDAE"
"43.436538917613134_-75.89179234746005_20210711","(ODONATA: ANISOPTERA) AESHNIDAE"
"43.436538917613134_-75.89179234746005_20210711","(MEGALOPTERA) CORYDALIDAE"
"43.436538917613134_-75.89179234746005_20210711","(EPHEMEROPTERA) BAETIDAE"
"43.436538917613134_-75.89179234746005_20210711","(EPHEMEROPTERA) HEPTAGENIIDAE"
"43.436538917613134_-75.89179234746005_20210711","(ODONATA: ANISOPTERA) AESHNIDAE"
"43.436538917613134_-75.89179234746005_20210711","(TRICHOPTERA) HYDROPSYCHIDAE"
"43.436538917613134_-75.89179234746005_20210711","(ODONATA: ANISOPTERA) GOMPHIDAE"
"43.436538917613134_-75.89179234746005_20210711","(PLECOPTERA) PERLIDAE"
"43.436538917613134_-75.89179234746005_20210711","(MOLLUSCA: BIVALVIA) CORBICULIDAE"
"43.436538917613134_-75.89179234746005_20210711","(HEMIPTERA) OTHER"
"43.436538917613134_-75.89179234746005_20210711","(OTHER) "
"43.436538917613134_-75.89179234746005_20210711","(TRICHOPTERA) PHILOPOTAMIDAE"
"43.436538917613134_-75.89179234746005_20210711","(TRICHOPTERA) LIMNEPHILIDAE"
"43.436538917613134_-75.89179234746005_20210711","(CRUSTACEA: AMPHIPODA) GAMMARIDEA"
"43.436538917613134_-75.89179234746005_20210711","(EPHEMEROPTERA) HEPTAGENIIDAE"
"42.19683_-74.09661_20210821","(TRICHOPTERA) RHYACOPHILIDAE"
"42.19683_-74.09661_20210821","(DIPTERA: CHIRONOMIDAE) "
"42.19683_-74.09661_20210821","(EPHEMEROPTERA) HEPTAGENIIDAE"
"42.19683_-74.09661_20210821","(PLECOPTERA) PELTOPERLIDAE"
"42.19683_-74.09661_20210821","(ODONATA: ANISOPTERA) GOMPHIDAE"
"42.19683_-74.09661_20210821","(DIPTERA) ATHERICIDAE"
"42.19683_-74.09661_20210821","(EPHEMEROPTERA) EPHEMERELLIDAE"
"42.19683_-74.09661_20210821","(PLECOPTERA) PERLODIDAE"
