STATION,RIVMILLE,LOCATION,LATITUDE,LONGITUDE,site_id,sample_id,coll_date,replicate,genspecies,indiv,wqa,bap,collect
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Undetermined Turbellaria,1,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Undetermined Lumbriculidae,1,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Gammarus sp.,3,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Acentrella sp.,18,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Baetis brunneicolor,1,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Baetis flavistriga,1,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Serratella serrata,3,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Paragnetina media,8,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Psephenus herricki,1,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Optioservus trivittatus,5,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Stenelmis cheryl,6,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Chimarra obscura,5,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Cheumatopsyche sp.,4,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Ceratopsyche bronta,12,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Ceratopsyche morosa,14,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Leucotrichia sp.,1,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Antocha sp.,4,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Ulomorpha sp.,1,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Diamesa sp.,1,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Pagastia orthogonia,1,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Cricotopus bicinctus,1,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Cricotopus vierriensis,1,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Parametriocnemus lundbecki,2,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Synorthocladius nr. semivirens,1,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Tvetenia vitracies,3,slt,7.33,1
01A,123.4,MOHK,43.21139,-75.43945,568,532,15-Aug-00,1,Tanytarsus guerlus gr.,1,slt,7.33,1
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Nais barbata,34,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Nais variabilis,588,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Gammarus sp.,8,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Argia sp.,2,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Cheumatopsyche sp.,6,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Simulium sp.,2,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Ablabesmyia mallochi,11,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Thienemannimyia gr. spp.,4,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Corynoneura sp.,4,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Cricotopus bicinctus,15,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Nanocladius crassicornus,4,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Nanocladius distinctus,15,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Psectrocladius psilopterus gr.,4,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Dicrotendipes fumidus,33,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Dicrotendipes neomodestus,79,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Einfeldia sp.,11,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Parachironomus abortivus,7,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Parachironomus frequens,40,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Polypedilum flavum,37,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Polypedilum illinoense,4,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Rheotanytarsus exiguus gr.,69,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,534,06-Jul-95,1,Tanytarsus glabrescens gr.,15,mod,3.61,2
19A,49.4,MOHK,42.95028,-74.36972,572,535,09-Aug-95,1,Nais barbata,48,sev,2.04,2
19A,49.4,MOHK,42.95028,-74.36972,572,535,09-Aug-95,1,Nais pardalis,48,sev,2.04,2
19A,49.4,MOHK,42.95028,-74.36972,572,535,09-Aug-95,1,Nais variabilis,480,sev,2.04,2
19A,49.4,MOHK,42.95028,-74.36972,572,535,09-Aug-95,1,Dreissena polymorpha,3152,sev,2.04,2
19A,49.4,MOHK,42.95028,-74.36972,572,535,09-Aug-95,1,Baetis sp.,2,sev,2.04,2
19A,49.4,MOHK,42.95028,-74.36972,572,535,09-Aug-95,1,Stenonema femoratum,2,sev,2.04,2
19A,49.4,MOHK,42.95028,-74.36972,572,535,09-Aug-95,1,Ablabesmyia mallochi,9,sev,2.04,2
19A,49.4,MOHK,42.95028,-74.36972,572,535,09-Aug-95,1,Dicrotendipes fumidus,123,sev,2.04,2
19A,49.4,MOHK,42.95028,-74.36972,572,535,09-Aug-95,1,Dicrotendipes neomodestus,343,sev,2.04,2
19A,49.4,MOHK,42.95028,-74.36972,572,535,09-Aug-95,1,Polypedilum flavum,9,sev,2.04,2
19A,49.4,MOHK,42.95028,-74.36972,572,536,11-Sep-95,1,Nais variabilis,635,sev,2.13,2
19A,49.4,MOHK,42.95028,-74.36972,572,536,11-Sep-95,1,Stylaria lacustris,13,sev,2.13,2
19A,49.4,MOHK,42.95028,-74.36972,572,536,11-Sep-95,1,Dreissena polymorpha,268,sev,2.13,2
19A,49.4,MOHK,42.95028,-74.36972,572,536,11-Sep-95,1,Nanocladius distinctus,5,sev,2.13,2
19A,49.4,MOHK,42.95028,-74.36972,572,536,11-Sep-95,1,Dicrotendipes fumidus,98,sev,2.13,2
19A,49.4,MOHK,42.95028,-74.36972,572,536,11-Sep-95,1,Dicrotendipes neomodestus,342,sev,2.13,2
19A,49.4,MOHK,42.95028,-74.36972,572,536,11-Sep-95,1,Glyptotendipes lobiferus,21,sev,2.13,2
19A,49.4,MOHK,42.95028,-74.36972,572,536,11-Sep-95,1,Parachironomus carinatus,10,sev,2.13,2
19A,49.4,MOHK,42.95028,-74.36972,572,536,11-Sep-95,1,Parachironomus frequens,15,sev,2.13,2
19A,49.4,MOHK,42.95028,-74.36972,572,536,11-Sep-95,1,Polypedilum flavum,5,sev,2.13,2
19A,49.4,MOHK,42.95028,-74.36972,572,536,11-Sep-95,1,Rheotanytarsus exiguus gr.,5,sev,2.13,2
19A,49.4,MOHK,42.95028,-74.36972,572,536,11-Sep-95,1,Tanytarsus glabrescens gr.,10,sev,2.13,2
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Undetermined Lumbricina,2,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Gammarus sp.,1,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Acentrella ampla,12,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Ephemerella invaria,18,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Ephemerella sp.,1,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Paragnetina media,6,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Optioservus ovalis,5,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Stenelmis sp.,2,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Chimarra obscura,2,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Cheumatopsyche sp.,2,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Ceratopsyche bronta,17,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Ceratopsyche morosa,12,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Protoptila sp.,1,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Undetermined Brachycentridae,1,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Antocha sp.,2,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Cardiocladius obscurus,4,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Cricotopus trifascia gr.,2,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Cricotopus vierriensis,1,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Eukiefferiella devonica gr.,4,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Orthocladius nr. dentifer,1,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Orthocladius (Euorthoclad.) rivicola,1,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Tvetenia bavarica gr.,1,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Polypedilum flavum,1,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,537,31-May-95,1,Sublettea coffmani,1,slt,7.27,5
01,124.0,MOHK,43.21778,-75.43166,567,538,11-Sep-95,1,Nais behningi,184,non,7.53,5
01,124.0,MOHK,43.21778,-75.43166,567,538,11-Sep-95,1,Nais bretscheri,208,non,7.53,5
01,124.0,MOHK,43.21778,-75.43166,567,538,11-Sep-95,1,Nais variabilis,56,non,7.53,5
01,124.0,MOHK,43.21778,-75.43166,567,538,11-Sep-95,1,Pristina aequiseta,8,non,7.53,5
01,124.0,MOHK,43.21778,-75.43166,567,538,11-Sep-95,1,Stylaria lacustris,8,non,7.53,5
01,124.0,MOHK,43.21778,-75.43166,567,538,11-Sep-95,1,Ferrissia rivularis,4,non,7.53,5
