GENSPECIES,Family
Anax longipes,Aeshnidae
Anax sp.,Aeshnidae
Basiaeschna sp.,Aeshnidae
Boyeria sp.,Aeshnidae
Boyeria vinosa,Aeshnidae
Undetermined Aeshnidae,Aeshnidae
Crangonyx sp.,Amphipoda
Gammarus fasciatus,Amphipoda
Gammarus pseudolimnaeus,Amphipoda
Gammarus sp.,Amphipoda
Gammarus tigrinus,Amphipoda
Hyalella azteca,Amphipoda
Hyalella sp.,Amphipoda
Monoculodes edwardsi,Amphipoda
Monoculodes sp.,Amphipoda
Undetermined Crangonyctidae,Amphipoda
Undetermined Gammaridae,Amphipoda
Undetermined Oedicerotidae,Amphipoda
Undetermined Talitridae,Amphipoda
Ferrissia parallela,Ancylidae
Ferrissia rivularis,Ancylidae
Ferrissia sp.,Ancylidae
Ferrissia walkeri,Ancylidae
Undetermined Ancylidae,Ancylidae
Caecidotea communis,Asellidae
Caecidotea intermedius,Asellidae
Caecidotea nr. racovitzai,Asellidae
Caecidotea racovitzai,Asellidae
Caecidotea racovitzai racovitzai,Asellidae
Caecidotea sp.,Asellidae
Lirceus sp.,Asellidae
Undetermined Asellidae,Asellidae
Atherix sp.,Athericidae
Undetermined Athericidae,Athericidae
Acentrella ampla,Baetidae
Acentrella sp.,Baetidae
Acentrella turbida,Baetidae
Acerpenna macdunnoughi,Baetidae
Acerpenna pygmaea,Baetidae
Acerpenna sp.,Baetidae
Baetis brunneicolor,Baetidae
Baetis flavistriga,Baetidae
Baetis intercalaris,Baetidae
Baetis pluto,Baetidae
Baetis sp.,Baetidae
Baetis tricaudatus,Baetidae
Callibaetis sp.,Baetidae
Centroptilum sp.,Baetidae
Cloeon sp.,Baetidae
Diphetor hageni,Baetidae
Diphetor sp.,Baetidae
Heterocloeon anoka,Baetidae
Heterocloeon curiosum,Baetidae
Heterocloeon sp.,Baetidae
Iswaeon anoka,Baetidae
Plauditus dubius,Baetidae
Plauditus sp.,Baetidae
Procloeon rivulare,Baetidae
Procloeon sp.,Baetidae
Pseudocloeon propinquum,Baetidae
Pseudocloeon sp.,Baetidae
Undetermined Baetidae,Baetidae
Baetisca sp.,Baetiscidae
Undetermined Baetiscidae,Baetiscidae
Bithynia sp.,Bithyniidae
