GENSPECIES,Family
Crangonyx sp.,Amphipoda
Gammarus fasciatus,Amphipoda
Gammarus pseudolimnaeus,Amphipoda
Gammarus sp.,Amphipoda
Gammarus tigrinus,Amphipoda
Hyalella azteca,Amphipoda
Hyalella sp.,Amphipoda
Monoculodes edwardsi,Amphipoda
Monoculodes sp.,Amphipoda
Undetermined Crangonyctidae,Amphipoda
Undetermined Gammaridae,Amphipoda
Undetermined Oedicerotidae,Amphipoda
Undetermined Talitridae,Amphipoda
Caecidotea communis,Asellidae
Caecidotea intermedius,Asellidae
Caecidotea nr. racovitzai,Asellidae
Caecidotea racovitzai,Asellidae
Caecidotea racovitzai racovitzai,Asellidae
Caecidotea sp.,Asellidae
Lirceus sp.,Asellidae
Undetermined Asellidae,Asellidae
Chironomus decorus gr.,Chironomus
Chironomus riparius gr.,Chironomus
Chironomus sp.,Chironomus
Argia moesta,Coenagrionidae
Argia sp.,Coenagrionidae
Chromagrion sp.,Coenagrionidae
Enallagma sp.,Coenagrionidae
Ischnura sp.,Coenagrionidae
Ischnura sp. 1,Coenagrionidae
Ischnura sp. 2,Coenagrionidae
Ischnura sp. 3,Coenagrionidae
Ischnura sp. 4,Coenagrionidae
Ischnura sp. 5,Coenagrionidae
Undetermined Coenagrionidae,Coenagrionidae
Hesperocorixa sp.,Corixidae
Undetermined Corixidae,Corixidae
Agabetes sp.,Dytiscidae
Agabus sp.,Dytiscidae
Celina sp.,Dytiscidae
Hydroporous sp.,Dytiscidae
Laccophilus sp.,Dytiscidae
Undetermined Dytiscidae,Dytiscidae
Haliplus sp.,Haliplidae
Peltodytes sp.,Haliplidae
Undetermined Haliplidae,Haliplidae
Batracobdella phalera,Hirudinea
Batracobdella sp.,Hirudinea
Erpobdella sp.,Hirudinea
Helobdella elongata,Hirudinea
Helobdella sp. ,Hirudinea
Helobdella sp. 1,Hirudinea
Helobdella stagnalis,Hirudinea
Helobdella triserialis,Hirudinea
Placobdella montifera,Hirudinea
Placobdella sp.,Hirudinea
Undetermined Erpobdellidae,Hirudinea
Undetermined Glossiphoniidae,Hirudinea
Undetermined Hirudinea,Hirudinea
Hydraena sp.,Hydraenidae
Undetermined Hydraenidae,Hydraenidae
Lestes sp.,Lestidae
Undetermined Lestidae,Lestidae
Fossaria sp.,Lymnaeidae
Lymnaea sp.,Lymnaeidae
Lymnaea stagnalis,Lymnaeidae
Pseudosuccinea columella,Lymnaeidae
Pseudosuccinea sp.,Lymnaeidae
Radix auricularia,Lymnaeidae
Radix sp.,Lymnaeidae
Stagnicola catascopium,Lymnaeidae
Stagnicola elodes,Lymnaeidae
Stagnicola sp.,Lymnaeidae
Undetermined Lymnaeidae,Lymnaeidae
Anodonta implicata,Pelecypoda
Anodonta sp.,Pelecypoda
Corbicula fluminea,Pelecypoda
Corbicula sp.,Pelecypoda
Dreissena polymorpha,Pelecypoda
Dreissena sp.,Pelecypoda
Elliptio complanata,Pelecypoda
Elliptio sp.,Pelecypoda
Lampsilis radiata,Pelecypoda
Lampsilis sp.,Pelecypoda
Musculium partumeium,Pelecypoda
Musculium sp.,Pelecypoda
Musculium transversum,Pelecypoda
Pisidium amnicum,Pelecypoda
Pisidium casertanum,Pelecypoda
Pisidium compressum,Pelecypoda
Pisidium sp.,Pelecypoda
Pisidium variabile,Pelecypoda
Pyganodon cataracta,Pelecypoda
Pyganodon sp.,Pelecypoda
Sphaerium corneum,Pelecypoda
Sphaerium rhomboideum,Pelecypoda
Sphaerium sp.,Pelecypoda
Sphaerium striatinum,Pelecypoda
Undetermined Corbiculidae,Pelecypoda
Undetermined Dreisseniidae,Pelecypoda
Undetermined Sphaeriidae,Pelecypoda
Undetermined Unionidae,Pelecypoda
Oligostomis sp.,Phryganeidae
Phryganea sp.,Phryganeidae
Ptilostomis sp.,Phryganeidae
Undetermined Phryganeidae,Phryganeidae
Physella ancillaria,Physidae
Physella gyrina,Physidae
Physella heterostropha,Physidae
Physella integra,Physidae
Physella sp.,Physidae
Undetermined Physidae,Physidae
Chrysops sp.,Tabanidae
Hybomitra sp.,Tabanidae
Tabanus sp.,Tabanidae
Undetermined Tabanidae,Tabanidae
Dugesia sp.,Turbellaria
Dugesia tigrina,Turbellaria
Undetermined Turbellaria,Turbellaria
Undetermined Valvatidae,Valvatidae
Valvata lewisi,Valvatidae
Valvata piscinalis,Valvatidae
Valvata sincera,Valvatidae
Valvata sp.,Valvatidae
Valvata tricarinata,Valvatidae
