"FINAL_ID","PHYLUM","CLASS","ORDER","FAMILY","SUBFAMILY","GENUS","SPECIES","GENUS_SPECIES","FEEDINGHAB","TOLERANCE","NBI_P_TOLERANCE","NBI_N_TOLERANCE","TOLNAME","CLASSIFIER","PREVNAMES","COMMONNAME","REFERENCE"
"LANTHUS_SP.","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","GOMPHIDAE","LANTHUS","LANTHUS","LANTHUS SP.","PRD",5,NA,NA,"FACULTATIVE","INSECTS-OTHER",NA,"DRAGONFLY","83,122"
"OPHIOGOMPHUS_CAROLUS","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","GOMPHIDAE","OPHIOGOMPHUS","OPHIOGOMPHUS_CAROLUS","OPHIOGOMPHUS CAROLUS","PRD",3,NA,NA,"INTOLERANT","INSECTS-OTHER",NA,"DRAGONFLY","83, 122"
"OPHIOGOMPHUS_MAINENSIS","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","GOMPHIDAE","OPHIOGOMPHUS","OPHIOGOMPHUS_MAINENSIS","OPHIOGOMPHUS MAINENSIS","PRD",6,NA,NA,"FACULTATIVE","INSECTS-OTHER",NA,"DRAGONFLY","83, 122"
"CLADOTANYTARSUS_DAVIESI","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CLADOTANYTARSUS","CLADOTANYTARSUS_DAVIESI","CLADOTANYTARSUS DAVIESI","C-F",5,NA,NA,"FACULTATIVE","CHIRONOMIDAE",NA,"MIDGE","87"
"CLADOTANYTARSUS_NR._DISPERSOPILOSUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CLADOTANYTARSUS","CLADOTANYTARSUS_DISPERSOPILOSUS","CLADOTANYTARSUS NR. DISPERSOPILOSUS","C-F",5,NA,NA,"FACULTATIVE","CHIRONOMIDAE","MICROPSECTRA SP. 4","MIDGE","87"
"CLADOTANYTARSUS_NR._MANCUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CLADOTANYTARSUS","CLADOTANYTARSUS_MANCUS","CLADOTANYTARSUS NR. MANCUS","C-F",5,NA,NA,"FACULTATIVE","CHIRONOMIDAE","TANYTARSUS SP. 7","MIDGE","87"
"CLADOTANYTARSUS_SP._2","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CLADOTANYTARSUS","CLADOTANYTARSUS","CLADOTANYTARSUS SP. 2","C-F",5,NA,NA,"FACULTATIVE","CHIRONOMIDAE","CLADOTANYTARSUS? SP., TANYTARSUS SP. 5","MIDGE","87"
"CLADOTANYTARSUS_SP._4","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CLADOTANYTARSUS","CLADOTANYTARSUS","CLADOTANYTARSUS SP. 4","C-F",5,NA,NA,"FACULTATIVE","CHIRONOMIDAE","ATANYTARSUS SP. 1, MICROPSECTRA SP. 4","MIDGE","87"
"CLADOTANYTARSUS_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CLADOTANYTARSUS","CLADOTANYTARSUS","CLADOTANYTARSUS SP.","C-F",5,6,4,"FACULTATIVE","CHIRONOMIDAE",NA,"MIDGE","87"
"ANTHOPOTAMUS_SP.","ARTHROPODA","INSECTA","EPHEMEROPTERA","POTAMANTHIDAE","POTAMANTHIDAE","ANTHOPOTAMUS","ANTHOPOTAMUS","ANTHOPOTAMUS SP.","C-G",4,4,5,"INTOLERANT","EPHEMEROPTERA","POTAMANTHUS SP.","MAYFLY","83,73"
