"SITE_ID","LOCATION","RIVMILE","STATION","DESCRIPT","DIRECT","LATITUDE","LONGITUDE","COUNTY","FIPS_CODE","BASIN","NAME","HUC_8","WQ_STANDARD","DEC_REGION","PWL_ID","WIN","HABITAT_TYPE","SITE_CONDITION","DRAINAGE","NED10_Elevation"
1902,"TRUB",0.7,"1","100m above True Brook Rd","Saranac",44.63722,-73.77028,"Clinton",19,"10","True Brook",2010006,"C(T)",5,"1003-0055","C- 15-18",NA,NA,NA,266.2857971
4102,"ABET",1,"1","Upstream of culvert on South Country Rd","Brookhaven",40.761745,-72.976233,"Suffolk",103,"17","Abets Creek",2030202,"C",1,"1701-0239","(MW6.3e) GB-SIS-SHB-134",NA,NA,NA,3.525841951
42675055,"ABIJ",2.9,"1","500 ft east off CR 95","Worth",43.76523,-75.892158,"Jefferson",45,"3","Abijah Creek",4140102,"CT",6,"0303-0053","Ont 45",NA,NA,NA,379.4225159
2479,"ADKS_01",0.1,"1","Grove Pond Rd","Diana",44.13083,-75.25611,"Lewis",49,"9","Unnamed Tributary to South Creek",4150302,"D",6,"0905-0133","SL-25-73-24-6",NA,NA,NA,287.6087646
2480,"ADKS_02",1.2,"2","Atkinson Rd","Pitcairn",44.16139,-75.30583,"Lewis",49,"9","Meadow Brook",4150302,"D",6,"0905-0133","SL-25-73-20",NA,NA,NA,240.8806763
2481,"ADKS_03",0.2,"3","Powerlines","Pitcairn",44.22333,-75.30666,"St. Lawrence",89,"9","Unnamed Tributary to Oswegatchie River",4150302,"D",6,"0905-0133","SL-25-73-12",NA,NA,NA,226.431366
2482,"ADKS_04",7.4,"4","Beaver dam","Fine",44.21194,-75.12556,"St. Lawrence",89,"9","Yellow Creek",4150302,"D",6,"0905-0138","SL-25-73-19-3-6-1-5",NA,NA,NA,386.0481873
2483,"ADKS_05",4.7,"5","Coffin Mills Rd","Fine",44.181666,-75.078055,"St. Lawrence",89,"9","Unnamed Tributary to Little River",4150302,"CT",6,"0905-0090","SL-25-11-7",NA,NA,NA,400.7252808
2484,"ADKS_06",0.9,"6","Sitting Bull Rd","Fine",44.22583,-75.04583,"St. Lawrence",89,"9","Unnamed Tributary to Skate Creek",4150302,"CT",6,"0905-0113","SL-25-99-2",NA,NA,NA,394.5050659
2485,"ADKS_07",0.8,"7","Campground","Clifton",44.19417,-74.82278,"St. Lawrence",89,"9","Unnamed Tributary to Cranberry Lake",4150302,NA,6,"0905-0101","SL-25-P309-a",NA,NA,NA,467.1087341
2486,"ADKS_08",0.6,"8","West off Columbian Rd","Clifton",44.199722,-74.845833,"St. Lawrence",89,"9","Unnamed Tributary to Cranberry Lake",4150302,"AT",6,"0905-0101","SL-25-P309",NA,NA,NA,454.9498291
