"WA_SAMPLE_ID","WA_ASSESSMENT"
"41.09128_-74.08314_20220801","no conclusion"
"42.813443_-78.422816_20220729","no known impact"
"43.4324895_-73.7091226_20220908","no conclusion"
"41.087683_-73.917535_20220814","no conclusion"
"42.52706_-77.0015_20210808","no conclusion"
"42.766404_-73.788552_20220910","no conclusion"
"42.40614_-76.59763_20220915","no known impact"
"41.132693_-74.0080694_20220726","no conclusion"
"42.60578_-75.04516_20220819","no conclusion"
"41.14556_-73.994167_20220826","no conclusion"
"42.51777_-76.97421_20210807","no conclusion"
"43.74934_-73.50453_20220806","no known impact"
"40.90606579_-73.81372495_20220730","no conclusion"
"43.62615_-73.60724_20220826","no conclusion"
"42.4272775_-73.67594242_20220930","no conclusion"
"42.7374_-78.3079_20220817","no known impact"
"40.95051_-73.79818_20220918","no conclusion"
"42.99855067_-75.00682752_20220822","no conclusion"
"43.518218_-73.6740998_20220807","no conclusion"
"42.461743_-75.055251_20220803","no conclusion"
"42.6501_-78.4468_20220913","no known impact"
"42.772228_-73.789983_20220910","no conclusion"
"42.67971_-78.3545_20220719","no conclusion"
"42.4893_-74.95855_20220803","no conclusion"
"42.65487201_-76.43464457_20220809","no known impact"
"42.66225_-78.44036_20220726","no known impact"
"43.47495_-76.104483_20220713","no known impact"
"42.676_-78.4389_20220913","no conclusion"
"41.8745_-75.06955_20220909","no known impact"
"42.83967592_-73.5119405_20220903","no conclusion"
"43.55321_-73.60557_20220719","no conclusion"
"40.90540324_-73.81397398_20220730","no conclusion"
"41.53758_-73.955044_20220803","no conclusion"
"44.185229_-73.950155_20220719","no known impact"
"43.40951_-73.69925_20220713","no conclusion"
"42.7377_-78.3583_20220913","no known impact"
"43.51084_-73.62619_20220713","no conclusion"
"42.818375_-78.445938_20220729","no conclusion"
"41.13387_-73.94326_20220726","no conclusion"
"43.4159942_-73.71744633_20220830","no conclusion"
"42.7934_-78.3185_20220817","no known impact"
"43.65194_-73.49556_20220719","no conclusion"
"43.432145_-73.707615_20220909","no conclusion"
"42.8488_-78.28311_20220923","no known impact"
"41.20014_-74.02658_20220711","no conclusion"
"41.8733_-75.017175_20220909","no conclusion"
"43.528794_-73.672736_20220914","no conclusion"
"42.722679_-73.992515_20220929","no known impact"
"42.39217_-76.59734_20220926","no known impact"
"41.145908_-74.1143819_20220916","no conclusion"
"42.614403_-78.0116643_20220903","no conclusion"
