"WMFDH_SAMPLE_ID","WMFDH_MACRO_FAMILY"
"44.185229_-73.950155_20220719","() "
"44.185229_-73.950155_20220719","(EPHEMEROPTERA) BAETISCIDAE"
"44.185229_-73.950155_20220719","(ODONATA: ANISOPTERA) GOMPHIDAE"
"44.185229_-73.950155_20220719","(COLEOPTERA) DYTISCIDAE"
"44.185229_-73.950155_20220719","(TRICHOPTERA) GLOSSOSOMATIDAE"
"44.185229_-73.950155_20220719","(EPHEMEROPTERA) LEPTOPHLEBIIDAE"
"44.185229_-73.950155_20220719","(DIPTERA) LIMONIIADAE"
"44.185229_-73.950155_20220719","(TRICHOPTERA) HYDROPSYCHIDAE"
"44.185229_-73.950155_20220719","(TRICHOPTERA) PHILOPOTAMIDAE"
"44.185229_-73.950155_20220719","(PLECOPTERA) CHLOROPERLIDAE"
"44.185229_-73.950155_20220719","(EPHEMEROPTERA) BAETIDAE"
"44.185229_-73.950155_20220719","(PLECOPTERA) PERLIDAE"
"44.185229_-73.950155_20220719","(EPHEMEROPTERA) EPHEMERELLIDAE"
"42.99855067180702_-75.00682751616458_20220822","(WORMLIKE) OLIGOCHAETA"
"42.99855067180702_-75.00682751616458_20220822","(ODONATA: ANISOPTERA) CORDULEGASTRIDAE"
"42.99855067180702_-75.00682751616458_20220822","(DIPTERA: CHIRONOMIDAE) "
"42.99855067180702_-75.00682751616458_20220822","(CRUSTACEA: AMPHIPODA) GAMMARIDEA"
"42.99855067180702_-75.00682751616458_20220822","(HEMIPTERA) OTHER"
"42.99855067180702_-75.00682751616458_20220822","(OTHER) "
"42.99855067180702_-75.00682751616458_20220822","(DIPTERA) TIPULIDAE"
"42.99855067180702_-75.00682751616458_20220822","(DIPTERA) ATHERICIDAE"
"42.99855067180702_-75.00682751616458_20220822","(TRICHOPTERA) HYDROPSYCHIDAE"
"42.99855067180702_-75.00682751616458_20220822","(TRICHOPTERA) PHILOPOTAMIDAE"
"42.99855067180702_-75.00682751616458_20220822","(PLECOPTERA) PERLIDAE"
"42.99855067180702_-75.00682751616458_20220822","(EPHEMEROPTERA) LEPTOHYPHIDAE"
"42.99855067180702_-75.00682751616458_20220822","(EPHEMEROPTERA) ISONYCHIIDAE"
"42.65487200921697_-76.43464456748933_20220809","(COLEOPTERA) PSEPHENIDAE"
"42.65487200921697_-76.43464456748933_20220809","(PLECOPTERA) PERLIDAE"
"42.65487200921697_-76.43464456748933_20220809","(DIPTERA) LIMONIIDAE"
"42.65487200921697_-76.43464456748933_20220809","(TRICHOPTERA) ODONTOCERIDAE"
"42.65487200921697_-76.43464456748933_20220809","(TRICHOPTERA) HYDROPSYCHIDAE"
"42.65487200921697_-76.43464456748933_20220809","(TRICHOPTERA) HELICOPSYCHIDAE"
"42.65487200921697_-76.43464456748933_20220809","(COLEOPTERA) ELMIDAE"
"42.65487200921697_-76.43464456748933_20220809","(WORMLIKE) OLIGOCHAETA"
"42.65487200921697_-76.43464456748933_20220809","(EPHEMEROPTERA) LEPTOHYPHIDAE"
"42.65487200921697_-76.43464456748933_20220809","(TRICHOPTERA) PHILOPOTAMIDAE"
"42.65487200921697_-76.43464456748933_20220809","(ODONATA: ANISOPTERA) AESHNIDAE"
"42.65487200921697_-76.43464456748933_20220809","(DIPTERA: CHIRONOMIDAE) "
"43.47495_-76.104483_20220713","(OTHER) "
"43.47495_-76.104483_20220713","(TRICHOPTERA) LEPTOCERIDAE"
"43.47495_-76.104483_20220713","(TRICHOPTERA) RHYACOPHILIDAE"
"43.47495_-76.104483_20220713","(TRICHOPTERA) PHILOPOTAMIDAE"
"43.47495_-76.104483_20220713","(CRUSTACEA: DECAPODA) PLEOCYEMATA: CAMBARIDAE"
"43.47495_-76.104483_20220713","(DIPTERA: CHIRONOMIDAE) "
"43.47495_-76.104483_20220713","(TRICHOPTERA) LIMNEPHILIDAE"
"43.47495_-76.104483_20220713","(DIPTERA) LIMONIIDAE"
"43.47495_-76.104483_20220713","(COLEOPTERA) CURCULIONIDAE"
"43.47495_-76.104483_20220713","(EPHEMEROPTERA) HEPTAGENIIDAE"
"43.47495_-76.104483_20220713","(COLEOPTERA) PSEPHENIDAE"
"43.47495_-76.104483_20220713","(COLEOPTERA) ELMIDAE"
"43.47495_-76.104483_20220713","(WORMLIKE) HIRUDINEA"
"43.47495_-76.104483_20220713","(EPHEMEROPTERA) EPHEMERELLIDAE"
"43.47495_-76.104483_20220713","(PLECOPTERA) PERLIDAE"
"43.47495_-76.104483_20220713","(EPHEMEROPTERA) BAETIDAE"
"43.47495_-76.104483_20220713","(ODONATA: ANISOPTERA) GOMPHIDAE"
"43.47495_-76.104483_20220713","(MEGALOPTERA) CORYDALIDAE"
"43.47495_-76.104483_20220713","(DIPTERA) ATHERICIDAE"
"43.47495_-76.104483_20220713","(TRICHOPTERA) HYDROPSYCHIDAE"
"41.8733_-75.017175_20220909","(WORMLIKE) OTHER"
"41.8733_-75.017175_20220909","(OTHER) "
"41.8733_-75.017175_20220909","(ODONATA: ANISOPTERA) CORDULEGASTRIDAE"
"41.8733_-75.017175_20220909","(TRICHOPTERA) RHYACOPHILIDAE"
"41.8733_-75.017175_20220909","(PLECOPTERA) PERLIDAE"
"41.8733_-75.017175_20220909","(DIPTERA: CHIRONOMIDAE) "
"41.8733_-75.017175_20220909","(EPHEMEROPTERA) ISONYCHIIDAE"
"41.8733_-75.017175_20220909","(DIPTERA) LIMONIIDAE"
"41.8733_-75.017175_20220909","(ODONATA: ANISOPTERA) GOMPHIDAE"
"41.8745_-75.06955_20220909","(EPHEMEROPTERA) ISONYCHIIDAE"
"41.8745_-75.06955_20220909","(PLECOPTERA) PERLODIDAE"
"41.8745_-75.06955_20220909","(DIPTERA) LIMONIIDAE"
"41.8745_-75.06955_20220909","(MEGALOPTERA) CORYDALIDAE"
"41.8745_-75.06955_20220909","(ODONATA: ANISOPTERA) GOMPHIDAE"
"41.8745_-75.06955_20220909","(PLECOPTERA) PERLIDAE"
"41.8745_-75.06955_20220909","(EPHEMEROPTERA) BAETIDAE"
"41.8745_-75.06955_20220909","(EPHEMEROPTERA) HEPTAGENIIDAE"
"40.95051_-73.79818_20220918","(WORMLIKE) TURBELLARIA"
"40.95051_-73.79818_20220918","(OTHER) "
"40.95051_-73.79818_20220918","(COLEOPTERA) CURCULIONIDAE"
