"","site_id","lat","long","year","Historical_results","Current_WAVE_Score"
"1","40.662_-73.604",40.662,-73.604,"2019","2019: No Conclusion
2018: No Conclusion","No Conclusion"
"2","40.664_-73.654",40.664,-73.654,"2017","2017: No Conclusion","No Conclusion"
"3","40.691_-73.358",40.691,-73.358,"2017","2017: No Conclusion","No Conclusion"
"4","40.703_-73.328",40.703,-73.328,"2017","2017: No Conclusion","No Conclusion"
"5","40.714_-73.328",40.714,-73.328,"2017","2017: No Conclusion","No Conclusion"
"6","40.732_-73.251",40.732,-73.251,"2017","2017: Possibly Impaired","Possibly Impaired"
"7","40.755_-73.745",40.755,-73.745,"2017","2017: No Conclusion","No Conclusion"
"8","40.773_-73.033",40.773,-73.033,"2017","2017: No Conclusion","No Conclusion"
"9","40.85_-73.224",40.85,-73.224,"2017","2017: Possibly Impaired","Possibly Impaired"
"10","40.885_-73.617",40.885,-73.617,"2017","2017: No Conclusion","No Conclusion"
"11","40.905_-73.814",40.905,-73.814,"2022","2022: No Conclusion","No Conclusion"
"12","40.908_-73.884",40.908,-73.884,"2016","2016: Possibly Impaired","Possibly Impaired"
"13","40.908_-73.89",40.908,-73.89,"2016","2016: No Conclusion","No Conclusion"
"14","40.914_-73.884",40.914,-73.884,"2016","2016: Possibly Impaired","Possibly Impaired"
"15","40.951_-73.798",40.951,-73.798,"2022","2022: No Conclusion","No Conclusion"
"16","40.99_-73.863",40.99,-73.863,"2019","2019: No Conclusion
2018: No Conclusion
2017: No Conclusion
2016: No Conclusion","No Conclusion"
"17","41.019_-73.846",41.019,-73.846,"2019","2019: No Conclusion
2018: No Conclusion
2017: No Conclusion
2016: No Conclusion","No Conclusion"
"18","41.019_-73.947",41.019,-73.947,"2019","2019: No Conclusion","No Conclusion"
"19","41.019_-74.082",41.019,-74.082,"2017","2017: No Conclusion","No Conclusion"
"20","41.02_-73.947",41.02,-73.947,"2018","2018: No Conclusion","No Conclusion"
"21","41.021_-73.947",41.021,-73.947,"2017","2017: No Conclusion","No Conclusion"
"22","41.029_-73.925",41.029,-73.925,"2014","2014: Possibly Impaired","Possibly Impaired"
"23","41.029_-73.926",41.029,-73.926,"2016","2016: Possibly Impaired","Possibly Impaired"
"24","41.03_-73.925",41.03,-73.925,"2016","2016: No Conclusion","No Conclusion"
"25","41.036_-73.907",41.036,-73.907,"2018","2018: No Conclusion","No Conclusion"
"26","41.044_-73.939",41.044,-73.939,"2020","2020: No Conclusion","No Conclusion"
"27","41.045_-73.945",41.045,-73.945,"2017","2017: No Conclusion
2016: No Conclusion","No Conclusion"
"28","41.052_-73.945",41.052,-73.945,"2017","2017: Possibly Impaired","Possibly Impaired"
"29","41.052_-73.946",41.052,-73.946,"2015","2015: No Conclusion","No Conclusion"
"30","41.059_-73.943",41.059,-73.943,"2020","2020: No Conclusion","No Conclusion"
"31","41.059_-73.992",41.059,-73.992,"2019","2019: No Conclusion
2018: No Conclusion
2016: No Conclusion","No Conclusion"
"32","41.059_-73.993",41.059,-73.993,"2017","2017: No Conclusion","No Conclusion"
"33","41.06_-74.024",41.06,-74.024,"2016","2016: Possibly Impaired
2015: No Conclusion","Possibly Impaired"
"34","41.062_-73.946",41.062,-73.946,"2016","2016: No Conclusion","No Conclusion"
"35","41.066_-74.039",41.066,-74.039,"2017","2017: No Conclusion","No Conclusion"
"36","41.068_-74.026",41.068,-74.026,"2019","2019: No Conclusion
2018: No Conclusion
2017: No Conclusion","No Conclusion"
"37","41.068_-74.04",41.068,-74.04,"2019","2019: No Conclusion
2018: No Conclusion","No Conclusion"
"38","41.069_-73.938",41.069,-73.938,"2017","2017: No Conclusion
2016: No Known Impact","No Conclusion"
"39","41.083_-74.082",41.083,-74.082,"2016","2016: No Conclusion
2015: Possibly Impaired","No Conclusion"
"40","41.086_-73.963",41.086,-73.963,"2016","2016: Possibly Impaired","Possibly Impaired"
"41","41.087_-74.08",41.087,-74.08,"2019","2019: No Conclusion","No Conclusion"
"42","41.088_-73.918",41.088,-73.918,"2022","2022: No Conclusion","No Conclusion"
"43","41.091_-74.083",41.091,-74.083,"2022","2022: No Conclusion","No Conclusion"
"44","41.092_-74.083",41.092,-74.083,"2018","2018: No Conclusion","No Conclusion"
"45","41.114_-74.22",41.114,-74.22,"2016","2016: No Conclusion","No Conclusion"
"46","41.118_-73.944",41.118,-73.944,"2019","2019: No Conclusion
2018: No Conclusion","No Conclusion"
"47","41.118_-73.945",41.118,-73.945,"2017","2017: No Conclusion","No Conclusion"
"48","41.118_-74.044",41.118,-74.044,"2016","2016: No Conclusion
2015: Possibly Impaired","No Conclusion"
"49","41.121_-73.833",41.121,-73.833,"2012","2012: No Conclusion","No Conclusion"
"50","41.121_-73.867",41.121,-73.867,"2012","2012: No Conclusion","No Conclusion"
"51","41.126_-73.448",41.126,-73.448,"2017","2017: No Conclusion","No Conclusion"
"52","41.132_-73.819",41.132,-73.819,"2012","2012: Possibly Impaired
2012: Possibly Impaired","Possibly Impaired"
"53","41.133_-74.008",41.133,-74.008,"2022","2022: No Conclusion","No Conclusion"
"54","41.134_-73.59",41.134,-73.59,"2016","2016: No Conclusion","No Conclusion"
"55","41.134_-73.943",41.134,-73.943,"2022","2022: No Conclusion
2019: No Conclusion
2018: Possibly Impaired
2017: Possibly Impaired","No Conclusion"
"56","41.135_-74.163",41.135,-74.163,"2018","2018: No Conclusion
2017: No Conclusion
2016: No Conclusion","No Conclusion"
"57","41.135_-74.164",41.135,-74.164,"2019","2019: No Conclusion","No Conclusion"
"58","41.144_-74.115",41.144,-74.115,"2018","2018: No Conclusion
2017: No Conclusion","No Conclusion"
"59","41.145_-74.115",41.145,-74.115,"2016","2016: No Conclusion","No Conclusion"
"60","41.146_-71.114",41.146,-71.114,"2019","2019: No Conclusion","No Conclusion"
"61","41.146_-73.861",41.146,-73.861,"2014","2014: Possibly Impaired","Possibly Impaired"
"62","41.146_-73.994",41.146,-73.994,"2022","2022: No Conclusion
2019: No Conclusion","No Conclusion"
"63","41.146_-73.996",41.146,-73.996,"2017","2017: No Conclusion","No Conclusion"
"64","41.146_-74.114",41.146,-74.114,"2022","2022: No Conclusion
2016: No Conclusion","No Conclusion"
